dia;dia_semana;fim_semana;nome_atividade;duracao;frequencia;durfreq
1;0;0;cclothes;1319,0;3;439,6666666666667
1;0;0;celluse;4986,0;5;997,2
1;0;0;eating;4407,0;2;2203,5
1;0;0;goout;7865,0;1;7865,0
1;0;0;hairdray;187,0;1;187,0
1;0;0;makeup;393,0;1;393,0
1;0;0;mcoffe;1600,0000000000073;4;400,0000000000018
1;0;0;mdish;191,0;1;191,0
1;0;0;mhotfood;2684,0;1;2684,0
1;0;0;msandwich;433,0;1;433,0
1;0;0;mtee;561,0;1;561,0
1;0;0;sleep;-61461,0;2;-30730,5
1;0;0;takem;168,0;1;168,0
1;0;0;toileting;2840,0;6;473,3333333333333
1;0;0;tshower;1148,0000000000036;1;1148,0000000000036
1;0;0;watchtv;10365,999999999993;2;5182,999999999996
1;0;0;whandface;2971,0;10;297,1
2;1;0;cclothes;1242,0;3;414,0
2;1;0;celluse;1799,0;2;899,5
2;1;0;eating;7409,0;3;2469,6666666666665
2;1;0;hairdray;259,0;1;259,0
2;1;0;mcoffe;2122,0;5;424,4
2;1;0;mdish;547,0;2;273,5
2;1;0;mhotfood;4710,0;2;2355,0
2;1;0;msandwich;310,0;1;310,0
2;1;0;reading;6839,0;2;3419,5
2;1;0;sleep;-39233,999999999985;3;-13077,999999999995
2;1;0;takem;150,0;1;150,0
2;1;0;toileting;1937,0;4;484,25
2;1;0;tshower;1157,0;1;1157,0
2;1;0;watchtv;5679,0;2;2839,5
2;1;0;wdish;736,9999999999927;1;736,9999999999927
2;1;0;whandface;2659,0;10;265,9
3;2;0;cclothes;1512,9999999999927;3;504,3333333333309
3;2;0;celluse;1329,0;1;1329,0
3;2;0;eating;3845,0;2;1922,5
3;2;0;goout;9844,0;1;9844,0
3;2;0;hairdray;234,99999999999636;1;234,99999999999636
3;2;0;mcoffe;1157,0;3;385,6666666666667
3;2;0;mdish;234,0;1;234,0
3;2;0;mhotfood;6173,0;2;3086,5
3;2;0;msandwich;424,0;1;424,0
3;2;0;sleep;-42796,99999999999;3;-14265,666666666664
3;2;0;takem;126,0;1;126,0
3;2;0;toileting;2800,000000000002;7;400,0000000000003
3;2;0;tshower;759,0;1;759,0
3;2;0;watchtv;11060,0;5;2212,0
3;2;0;whandface;2359,0;8;294,875
4;3;0;cclothes;959,0;2;479,5
4;3;0;celluse;830,0;1;830,0
4;3;0;eating;7010,0;3;2336,6666666666665
4;3;0;mcoffe;1400,0;3;466,6666666666667
4;3;0;mdish;884,0;3;294,6666666666667
4;3;0;mhotfood;5820,0;2;2910,0
4;3;0;msandwich;496,0;1;496,0
4;3;0;reading;3396,0;1;3396,0
4;3;0;sleep;-49174,999999999985;3;-16391,66666666666
4;3;0;takem;184,0;1;184,0
4;3;0;toileting;2400,9999999999964;5;480,19999999999925
4;3;0;tshower;652,0;1;652,0
4;3;0;watchtv;12402,999999999993;3;4134,333333333331
4;3;0;wdish;766,0;1;766,0
4;3;0;whandface;2862,0;11;260,1818181818182
5;4;0;Laundry;2438,0;1;2438,0
5;4;0;Vacuuming;1976,0;1;1976,0
5;4;0;cclothes;947,0;2;473,5
5;4;0;celluse;1613,0;2;806,5
5;4;0;eating;8027,000000000007;3;2675,6666666666692
5;4;0;mcoffe;846,0;2;423,0
5;4;0;mdish;268,0;1;268,0
5;4;0;mhotfood;5823,0;2;2911,5
5;4;0;msandwich;446,0;1;446,0
