dia;dia_semana;fim_semana;cclothes;eating;mcoffe;mhotfood;toileting;whandface
1;0;0;1319,0;4407,0;1600,0000000000073;2684,0;2840,0;2971,0
2;1;0;1242,0;7409,0;2122,0;4710,0;1937,0;2659,0
3;2;0;1512,9999999999927;3845,0;1157,0;6173,0;2800,000000000002;2359,0
4;3;0;959,0;7010,0;1400,0;5820,0;2400,9999999999964;2862,0
5;4;0;947,0;8027,000000000007;846,0;5823,0;1429,0;1066,0
6;5;1;918,0;8370,0;1543,0;4140,0;1068,0;2294,9999999999964
7;6;1;900,0;8456,0;1506,0;5268,0;2082,0;2555,9999999999927
8;0;0;898,0;5085,0;1641,0;2533,0;2121,0;2662,0
9;1;0;877,0;7830,0;824,9999999999964;5433,0;2615,0;2133,0
10;2;0;1107,0;4604,0;860,0;4755,0;1373,0;1615,0
11;3;0;1825,0;5026,0;1274,0;3122,0;1652,0;1661,0
12;4;0;394,0;-78488,0;586,0;6055,0;2533,0;2769,0
13;5;1;1345,9999999999998;7297,0;821,0;4535,0;1032,0;1458,0
14;6;1;1187,0;7075,0;759,0;6387,0;1556,0;1787,0
15;0;0;1208,0;4842,0;805,0;2105,0;2230,0;1058,0
16;1;0;550,0;7633,999999999996;1876,0;5088,0;2341,0000000000073;2497,0000000000036
17;2;0;1060,0;3131,0;1737,0;6640,0;2462,0000000000073;1759,0
18;3;0;1783,0;7733,0;1546,0;5421,999999999993;1408,0;1371,0
19;4;0;-85450,0;4011,0;1181,0;3047,0;1858,0;2556,0
20;5;1;1622,0;3820,0;1853,0;2828,0;2030,0;1724,0
21;6;1;1654,0;3789,0;831,0;2365,0000000000073;410,0;1186,0
22;0;0;1263,0;3829,0000000000073;1603,0;5886,0;1374,0;1866,0
23;1;0;1808,9999999999927;11148,0;919,0;2664,0;2079,0;2224,0
24;2;0;394,0;8878,0;1212,0;4002,0;2807,0;2569,0
25;3;0;1488,0;8383,0;1200,0;5163,0;1084,0;1362,0
26;4;0;970,0;8189,0;547,0;5021,0;2322,9999999999945;1898,0
27;5;1;762,9999999999964;8466,0;1331,0;5040,0;976,0;1148,0
28;6;1;1105,0;7869,0;920,0;5303,0;781,0;1552,0
29;0;0;826,0;7503,0;1219,0;5828,0;2220,0;1904,0
30;1;0;1197,0;3805,0;1149,0;3324,0;1994,0000000000073;1586,9999999999964
31;2;0;888,0;8476,0;1076,0;4584,0;1565,0;2068,9999999999964
32;3;0;826,0;8232,0;1028,0;6592,0;1932,0;1574,0
33;4;0;866,0;8686,0;326,0;6264,0;1533,0;1654,0
34;5;1;1617,0;7071,0;1431,0;2449,0;2341,0;1857,9999999999964
35;6;1;1163,0;8486,0;358,0;6489,0;778,0;1954,0000000000036
36;0;0;931,0;8288,0;1306,0;5252,0;3353,0;2366,0
37;1;0;827,0;6692,0;1764,9999999999964;5429,0;3613,0000000000036;2436,0
38;2;0;581,0;-77923,0;912,0;6036,0;2456,0;3203,0
39;3;0;1337,0;7719,0;1261,0;5946,0;1268,9999999999964;1438,0
40;4;0;403,0;3852,0;852,0;3208,0;2064,000000000002;1525,0
41;5;1;2410,0;7604,0;1934,0;5797,0;1831,0;938,0
42;6;1;1472,0;7224,0;837,0;3930,0;1587,0;2546,0
43;0;0;1305,0;4245,0;364,0;5024,0;929,0;1734,0
44;1;0;924,0;7267,0;1878,0;4998,999999999993;2226,0;2844,0
45;2;0;1168,0;4296,0;1972,0000000000073;3569,0;2619,999999999998;2691,0
46;3;0;860,0;7307,0;2361,0;4986,999999999993;3664,0;2431,0
47;4;0;1045,0;7043,0;1989,0;4679,999999999993;2248,9999999999964;2292,0
48;5;1;2314,0;4323,0;1023,0;3407,0;1955,9999999999982;1856,0
49;6;1;637,0;7565,0;1529,0;6346,999999999993;2062,9999999999964;2426,0
50;0;0;1510,0;7978,0;1298,0;5010,999999999993;1683,0;1648,0
51;1;0;948,0;7147,0;788,0;5125,0;2273,0;2127,0
52;2;0;1552,0;4722,0;2265,0;3294,0;1160,9999999999982;1317,0
53;3;0;958,0;8131,999999999996;390,0;5344,0;3297,000000000002;1848,0
54;4;0;972,0;4116,0;908,9999999999964;3042,0;1914,0;1399,0
55;5;1;1589,0;3593,0;802,0;3234,0;1102,0;1731,0
56;6;1;672,9999999999964;7603,0;588,0;5238,0;1769,0;1821,0
57;0;0;565,9999999999964;6929,0;1009,0;5782,0;874,0;2302,0
58;1;0;1404,0;8393,0;1108,0;4574,0;1844,0;1152,0
59;2;0;980,0;4519,0;1726,0;2490,0;1472,0;1729,0
60;3;0;1381,0;3131,0;1275,0;2087,0;1826,0;1712,0
61;4;0;1138,0;8772,0;1457,0;5366,0;1968,0;2353,0
62;5;1;1060,9999999999964;3726,0;1065,0;2908,0;2243,0;2159,0
63;6;1;1035,9999999999964;7029,0;1581,0;5307,0;1857,0;2075,0
64;0;0;1019,9999999999964;8067,0;2038,0;5474,0;1351,9999999999982;1998,0
65;1;0;836,0;4785,0;780,0;2819,0;2961,0;3381,9999999999964
66;2;0;1266,0;7065,0;1607,9999999999927;4707,0;2991,0;2036,0
67;3;0;1373,0;7702,0;1542,0;5611,0;1319,0;3018,0
68;4;0;907,0;8062,0;1281,0;5050,999999999993;3015,0;2536,0
69;5;1;722,0;8014,000000000007;2235,9999999999964;5433,0;2266,0;2948,0
70;6;1;1215,0;8015,0;1042,0;5118,999999999993;1319,0;1784,0
71;0;0;746,0;7305,0;1845,0;2110,0;1750,0;1793,0
72;1;0;1367,0;4584,0;1364,0;4206,0;1566,0;2310,0
73;2;0;1573,0;8480,0;1156,0;5605,0;2420,0;1870,0
74;3;0;836,0;7925,999999999996;1435,0;4342,0;3090,0;2591,0
75;4;0;982,0;7154,0;502,0;5732,999999999993;1460,0;1314,0
76;5;1;1555,0;8269,0;1478,9999999999964;4806,999999999993;1039,0;2096,0
77;6;1;1962,0;8022,0;810,0;4595,0;2369,0000000000073;1846,0
78;0;0;1828,0;4329,0;1387,0;3252,0;1772,0;1566,0
79;1;0;1545,0;4048,0;1524,9999999999964;2256,0;1164,0;2034,0
80;2;0;982,0;7561,0;998,0;6625,0;3276,0;3265,0
81;3;0;743,0;5025,0;850,0;5549,0;2639,0;1576,0
82;4;0;913,0;7242,0;810,0;5732,0;2574,0;2712,0
83;5;1;965,0;-77555,0;1542,0;6254,0;1692,9999999999982;1441,0
84;6;1;1119,0;6998,0;1572,0;5804,0;878,0;2517,9999999999964
85;0;0;1234,9999999999964;4008,0;584,0;3313,0;2268,0;1911,0
86;1;0;370,0;7589,0;1128,0;5864,0;2674,0;2351,9999999999964
87;2;0;1412,0;7848,0;730,0;4646,0;1938,0;1995,0
88;3;0;969,0;5106,0;525,0;3583,0;2390,0;2761,9999999999964
89;4;0;911,0;7023,0;1300,0;6220,0;2110,0;1800,9999999999964
90;5;1;920,0;7648,0;1077,0;5643,0;2130,0;1611,0000000000036
91;6;1;1860,0;7493,0;2164,0;5516,999999999993;2295,0;3037,0
92;0;0;-84916,0;8665,0;1186,9999999999964;5813,0;3136,0;2842,0
93;1;0;1430,0;8172,0;2172,0;2452,0;2260,0;1860,0
94;2;0;1549,0;8758,0;2020,0;5590,0;2266,0;2075,0
95;3;0;1502,0;7027,0;2407,0;2144,0;2523,0;3447,0
96;4;0;1398,0;7931,0;1982,0;5304,0;2766,0;1962,0
97;5;1;1787,9999999999964;8392,0;1740,0;2407,0;2462,0;2661,0
98;6;1;1298,0;7774,0;509,0;4558,0;922,0;1362,0
99;0;0;642,0;7287,0;1320,0;5905,0;2520,0;2168,9999999999964
100;1;0;590,0;4896,0;1128,0;2621,0;3013,0;-83351,0
101;2;0;1411,0;8617,0;2080,0;7921,0;1422,0;1859,0
102;3;0;2905,0;10542,0;1826,0;2312,0;2341,9999999999995;1739,0
103;4;0;1188,9999999999964;7714,0;2469,0;5490,0;3506,0;3351,0
104;5;1;760,0;3550,0;1849,0;2580,0;2949,000000000002;2615,0
105;6;1;1452,0;10852,0;499,99999999999636;7278,0;1148,0;1105,0
106;0;0;1147,0;8658,0;1382,0;5965,0;2039,0;2095,0
107;1;0;1048,0;7792,0;2460,0;5572,0;3141,0000000000073;2079,0
108;2;0;796,0;7221,0;879,0;4185,0;2346,9999999999964;2485,0
109;3;0;803,0;7167,0;557,0;5874,0;2103,9999999999964;1907,0
110;4;0;1766,0;8079,0;1387,0;3294,0;2851,0000000000036;3274,0
111;5;1;1596,0;8511,0;1218,0;2077,0;3009,0;3209,9999999999964
112;6;1;1435,0;8517,0;474,0;4566,0;1816,0;1456,9999999999964
113;0;0;902,0;8584,0;1091,0000000000073;5442,0;1844,0;1970,0
114;1;0;1808,0;7216,0;1403,0;5141,0;2146,0;3055,0000000000073
115;2;0;798,0;7384,0;1216,0;5377,0;2633,0;2240,0
116;3;0;1117,0;7684,0;1428,0;5277,999999999993;2041,0;3418,0
117;4;0;1613,0;3118,0;2027,0;2236,0;1488,0;1612,0
118;5;1;1813,0;11566,000000000002;1797,0;8745,999999999993;1336,0;2185,0
119;6;1;1332,0;7580,0;773,0;5698,0;1927,0;2764,0
120;0;0;846,0;8344,0;737,9999999999964;5511,0;1939,0;1808,0
121;1;0;970,0;8354,0;1816,0;4330,0;1757,0;1986,0
122;2;0;759,0;7279,0;1501,0;5966,999999999993;2663,0;1596,0
123;3;0;1368,0;7854,0;2703,9999999999964;1951,0;1866,0;2791,0
124;4;0;510,0;7782,0;1192,0;3380,0;2275,0;2347,0
125;5;1;1255,0;7033,0;1405,0000000000073;1900,0;2827,0;2950,0
126;6;1;1343,0;7751,0;1379,0;5077,0;2255,0;1493,0
127;0;0;1001,0;8351,0;1791,0;3532,0;3176,999999999998;2184,0
128;1;0;1499,0;7072,0;985,0;4334,0;1782,9999999999964;2256,0
129;2;0;1407,0;7377,0;1267,0;5875,0;2876,0;2948,0
130;3;0;959,9999999999964;-78529,0;2501,0;3084,0;2611,0;2881,0
131;4;0;1897,0;7600,0;1425,0;5865,999999999993;1256,0;2020,0
132;5;1;1068,0;7702,0;816,0;4214,0;2312,9999999999964;2001,0
133;6;1;1379,0;7717,0;1746,0;5137,0;1960,0;2063,9999999999964
134;0;0;1761,9999999999927;6828,0;2177,0;6270,0;2775,0;2776,0
135;1;0;949,0;7558,0;1010,0;5797,999999999993;1435,0;1042,0
136;2;0;1036,0;-78664,0;2049,0;4181,0;2639,0;2433,0
137;3;0;1365,0;7789,0;1527,0;5529,0;1670,0;1514,0
138;4;0;1180,0;-78340,0;1259,0;2187,0;979,0;483,0
139;5;1;1033,0;-78439,0;1161,0;4454,0;1290,0;866,0
140;6;1;1955,0;-79445,0;880,0;6096,0;1398,0;1470,0
141;0;0;1059,0;-79103,0;2252,0;5772,0;2847,0;2627,9999999999964
142;1;0;1500,0;7819,0;458,0;5541,0;2105,0;2226,0
143;2;0;820,0;8458,0;1519,0;5529,999999999993;1877,0;1525,0
144;3;0;843,0;4650,0;1475,0;5258,0;2858,0000000000073;3556,9999999999964
145;4;0;2722,0;10990,0;1808,0;2833,0;2549,0;2600,9999999999964
146;5;1;781,0;7936,0;1119,0;6378,0;1721,9999999999964;2142,0
147;6;1;969,0;8454,0;1016,0;5777,0;1153,0;2223,0
148;0;0;1069,9999999999964;7359,0;1020,0;6597,999999999993;2497,0;2179,0
149;1;0;1468,0;6932,0;1535,9999999999964;5137,999999999993;2312,0;3073,0
150;2;0;826,0;8458,0;1886,9999999999927;5921,0;2086,0;1934,0
151;3;0;814,0;6764,0;2717,0;2542,0;1068,9999999999964;1931,0
152;4;0;1289,0;7399,0;301,99999999999636;6896,0;1971,0;2876,0
153;5;1;1159,0;7536,0;926,0;6154,0;2871,0;2431,0
154;6;1;1411,0;7871,0;1454,9999999999964;2515,0;1873,0;2212,0
155;0;0;827,0;8700,0;696,0;5750,0;1380,0;1589,0
156;1;0;703,9999999999964;8323,0;1043,0;4619,0;2807,0;2080,0
