dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;0;0;1319,0;3,0;439,6666666666667;1
2;1;0;1242,0;3,0;414,0;1
3;2;0;1513,0;3,0;504,3333333333333;1
4;3;0;959,0;2,0;479,5;1
5;4;0;947,0;2,0;473,5;1
6;5;1;918,0;2,0;459,0;1
7;6;1;900,0;2,0;450,0;1
8;0;0;898,0;2,0;449,0;1
9;1;0;877,0;2,0;438,5;1
10;2;0;1107,0;2,0;553,5;1
11;3;0;1825,0;4,0;456,25;1
12;4;0;394,0;1,0;394,0;1
13;5;1;1346,0;3,0;448,6666666666667;1
14;6;1;1187,0;3,0;395,6666666666667;1
15;0;0;1208,0;3,0;402,6666666666667;1
16;1;0;550,0;1,0;550,0;1
17;2;0;1060,0;2,0;530,0;1
18;3;0;1783,0;4,0;445,75;1
19;4;0;950,0;2,0;475,0;1
20;5;1;1622,0;3,0;540,6666666666666;1
21;6;1;1654,0;3,0;551,3333333333334;1
22;0;0;1263,0;3,0;421,0;1
23;1;0;1809,0;4,0;452,25;1
24;2;0;394,0;1,0;394,0;1
25;3;0;1488,0;3,0;496,0;1
26;4;0;970,0;2,0;485,0;1
27;5;1;763,0;2,0;381,5;1
28;6;1;1105,0;3,0;368,3333333333333;1
29;0;0;826,0;2,0;413,0;1
30;1;0;1197,0;3,0;399,0;1
31;2;0;888,0;2,0;444,0;1
32;3;0;826,0;2,0;413,0;1
33;4;0;866,0;2,0;433,0;1
34;5;1;1617,0;4,0;404,25;1
35;6;1;1163,0;3,0;387,6666666666667;1
36;0;0;931,0;2,0;465,5;1
37;1;0;827,0;2,0;413,5;1
38;2;0;581,0;1,0;581,0;1
39;3;0;1337,0;3,0;445,6666666666667;1
40;4;0;403,0;1,0;403,0;1
41;5;1;2410,0;5,0;482,0;1
42;6;1;1472,0;3,0;490,6666666666667;1
43;0;0;1305,0;3,0;435,0;1
44;1;0;924,0;2,0;462,0;1
45;2;0;1168,0;3,0;389,3333333333333;1
46;3;0;860,0;2,0;430,0;1
47;4;0;1045,0;2,0;522,5;1
48;5;1;2314,0;5,0;462,8;1
49;6;1;637,0;2,0;318,5;1
50;0;0;1510,0;3,0;503,3333333333333;1
51;1;0;948,0;2,0;474,0;1
52;2;0;1552,0;3,0;517,3333333333334;1
53;3;0;958,0;2,0;479,0;1
54;4;0;972,0;2,0;486,0;1
55;5;1;1589,0;3,0;529,6666666666666;1
56;6;1;673,0;2,0;336,5;1
57;0;0;566,0;1,0;566,0;1
58;1;0;1404,0;3,0;468,0;1
59;2;0;980,0;2,0;490,0;1
60;3;0;1381,0;3,0;460,3333333333333;1
61;4;0;1138,0;2,0;569,0;1
62;5;1;1061,0;2,0;530,5;1
63;6;1;1036,0;2,0;518,0;1
64;0;0;1020,0;2,0;510,0;1
65;1;0;836,0;2,0;418,0;1
66;2;0;1266,0;3,0;422,0;1
67;3;0;1373,0;3,0;457,6666666666667;1
68;4;0;907,0;2,0;453,5;1
69;5;1;722,0;2,0;361,0;1
70;6;1;1215,0;3,0;405,0;1
71;0;0;746,0;2,0;373,0;1
72;1;0;1367,0;3,0;455,6666666666667;1
73;2;0;1573,0;3,0;524,3333333333334;1
74;3;0;836,0;2,0;418,0;1
75;4;0;982,0;2,0;491,0;1
76;5;1;1555,0;3,0;518,3333333333334;1
77;6;1;1962,0;4,0;490,5;1
78;0;0;1828,0;4,0;457,0;1
79;1;0;1545,0;3,0;515,0;1
80;2;0;982,0;2,0;491,0;1
81;3;0;743,0;2,0;371,5;1
82;4;0;913,0;2,0;456,5;1
83;5;1;965,0;2,0;482,5;1
84;6;1;1119,0;3,0;373,0;1
85;0;0;1235,0;3,0;411,6666666666667;1
86;1;0;370,0;1,0;370,0;1
87;2;0;1412,0;3,0;470,6666666666667;1
88;3;0;969,0;2,0;484,5;1
89;4;0;911,0;2,0;455,5;1
90;5;1;920,0;2,0;460,0;1
91;6;1;1046,0;2,0;523,0;1
92;0;0;1144,0;3,0;381,3333333333333;1
93;1;0;1385,0;3,0;461,6666666666667;1
94;2;0;1776,0;4,0;444,0;1
95;3;0;1684,0;3,0;561,3333333333334;1
