dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;0;0;4407,0;2,0;2203,5;1
2;1;0;7409,0;3,0;2469,6666666666665;1
3;2;0;3845,0;2,0;1922,5;1
4;3;0;7010,0;3,0;2336,6666666666665;1
5;4;0;8027,0;3,0;2675,6666666666665;1
6;5;1;8370,0;3,0;2790,0;1
7;6;1;8456,0;3,0;2818,6666666666665;1
8;0;0;5085,0;2,0;2542,5;1
9;1;0;7830,0;3,0;2610,0;1
10;2;0;4604,0;2,0;2302,0;1
11;3;0;5026,0;2,0;2513,0;1
12;4;0;7912,0;3,0;2637,333333333333;1
13;5;1;7297,0;3,0;2432,333333333333;1
14;6;1;7075,0;3,0;2358,333333333333;1
15;0;0;4842,0;2,0;2421,0;1
16;1;0;7634,0;3,0;2544,6666666666665;1
17;2;0;3131,0;2,0;1565,5;1
18;3;0;7733,0;3,0;2577,6666666666665;1
19;4;0;4011,0;2,0;2005,5;1
20;5;1;3820,0;2,0;1910,0;1
21;6;1;3789,0;2,0;1894,5;1
22;0;0;3829,0;2,0;1914,5;1
23;1;0;11148,0;4,0;2787,0;1
24;2;0;8878,0;3,0;2959,333333333333;1
25;3;0;8383,0;3,0;2794,333333333333;1
26;4;0;8189,0;3,0;2729,6666666666665;1
27;5;1;8466,0;3,0;2822,0;1
28;6;1;7869,0;3,0;2623,0;1
29;0;0;7503,0;3,0;2501,0;1
30;1;0;3805,0;2,0;1902,5;1
31;2;0;8476,0;3,0;2825,333333333333;1
32;3;0;8232,0;3,0;2744,0;1
33;4;0;8686,0;3,0;2895,333333333333;1
34;5;1;7071,0;3,0;2357,0;1
35;6;1;8486,0;3,0;2828,6666666666665;1
36;0;0;8288,0;3,0;2762,6666666666665;1
37;1;0;6692,0;3,0;2230,6666666666665;1
38;2;0;8477,0;3,0;2825,6666666666665;1
39;3;0;7719,0;3,0;2573,0;1
40;4;0;3852,0;2,0;1926,0;1
41;5;1;7604,0;3,0;2534,6666666666665;1
42;6;1;7224,0;3,0;2408,0;1
43;0;0;4245,0;2,0;2122,5;1
44;1;0;7267,0;3,0;2422,333333333333;1
45;2;0;4296,0;2,0;2148,0;1
46;3;0;7307,0;3,0;2435,6666666666665;1
47;4;0;7043,0;3,0;2347,6666666666665;1
48;5;1;4323,0;2,0;2161,5;1
49;6;1;7565,0;3,0;2521,6666666666665;1
50;0;0;7978,0;3,0;2659,333333333333;1
51;1;0;7147,0;3,0;2382,333333333333;1
52;2;0;4722,0;2,0;2361,0;1
53;3;0;8132,0;3,0;2710,6666666666665;1
54;4;0;4116,0;2,0;2058,0;1
55;5;1;3593,0;2,0;1796,5;1
56;6;1;7603,0;3,0;2534,333333333333;1
