dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;0;0;1600,0;4,0;400,0;1
2;1;0;2122,0;5,0;424,4;1
3;2;0;1157,0;3,0;385,6666666666667;1
4;3;0;1400,0;3,0;466,6666666666667;1
5;4;0;846,0;2,0;423,0;1
6;5;1;1543,0;3,0;514,3333333333334;1
7;6;1;1506,0;3,0;502,0;1
8;0;0;1641,0;3,0;547,0;1
9;1;0;825,0;2,0;412,5;1
10;2;0;860,0;2,0;430,0;1
11;3;0;1274,0;3,0;424,6666666666667;1
12;4;0;586,0;1,0;586,0;1
13;5;1;821,0;2,0;410,5;1
14;6;1;759,0;2,0;379,5;1
15;0;0;805,0;2,0;402,5;1
16;1;0;1876,0;5,0;375,2;1
17;2;0;1737,0;4,0;434,25;1
18;3;0;1546,0;3,0;515,3333333333334;1
19;4;0;1181,0;2,0;590,5;1
20;5;1;1853,0;4,0;463,25;1
21;6;1;831,0;2,0;415,5;1
22;0;0;1603,0;3,0;534,3333333333334;1
23;1;0;919,0;2,0;459,5;1
24;2;0;1212,0;3,0;404,0;1
25;3;0;1200,0;3,0;400,0;1
26;4;0;547,0;1,0;547,0;1
27;5;1;1331,0;3,0;443,6666666666667;1
28;6;1;920,0;2,0;460,0;1
29;0;0;1219,0;3,0;406,3333333333333;1
30;1;0;1149,0;2,0;574,5;1
31;2;0;1076,0;2,0;538,0;1
32;3;0;1028,0;2,0;514,0;1
33;4;0;326,0;1,0;326,0;1
34;5;1;1431,0;3,0;477,0;1
35;6;1;358,0;1,0;358,0;1
36;0;0;1306,0;3,0;435,3333333333333;1
37;1;0;1765,0;4,0;441,25;1
38;2;0;912,0;2,0;456,0;1
39;3;0;1261,0;3,0;420,3333333333333;1
40;4;0;852,0;2,0;426,0;1
41;5;1;1934,0;4,0;483,5;1
42;6;1;837,0;2,0;418,5;1
43;0;0;364,0;1,0;364,0;1
44;1;0;1878,0;4,0;469,5;1
45;2;0;1972,0;4,0;493,0;1
46;3;0;2361,0;5,0;472,2;1
47;4;0;1989,0;4,0;497,25;1
48;5;1;1023,0;2,0;511,5;1
49;6;1;1529,0;3,0;509,6666666666667;1
50;0;0;1298,0;3,0;432,6666666666667;1
51;1;0;788,0;2,0;394,0;1
52;2;0;2265,0;5,0;453,0;1
53;3;0;390,0;1,0;390,0;1
54;4;0;909,0;2,0;454,5;1
55;5;1;802,0;2,0;401,0;1
56;6;1;588,0;1,0;588,0;1
57;0;0;1009,0;3,0;336,3333333333333;1
58;1;0;1108,0;2,0;554,0;1
59;2;0;1726,0;3,0;575,3333333333334;1
60;3;0;1275,0;3,0;425,0;1
61;4;0;1457,0;3,0;485,6666666666667;1
62;5;1;1065,0;2,0;532,5;1
63;6;1;1581,0;3,0;527,0;1
64;0;0;2038,0;5,0;407,6;1
65;1;0;780,0;2,0;390,0;1
66;2;0;1608,0;4,0;402,0;1
67;3;0;1542,0;3,0;514,0;1
68;4;0;1281,0;3,0;427,0;1
69;5;1;2236,0;5,0;447,2;1
70;6;1;1042,0;2,0;521,0;1
71;0;0;1845,0;5,0;369,0;1
72;1;0;1364,0;3,0;454,6666666666667;1
73;2;0;1156,0;3,0;385,3333333333333;1
74;3;0;1435,0;3,0;478,3333333333333;1
75;4;0;502,0;1,0;502,0;1
76;5;1;1479,0;3,0;493,0;1
77;6;1;810,0;2,0;405,0;1
78;0;0;1387,0;3,0;462,3333333333333;1
79;1;0;1525,0;3,0;508,3333333333333;1
80;2;0;998,0;2,0;499,0;1
81;3;0;850,0;2,0;425,0;1
82;4;0;810,0;2,0;405,0;1
83;5;1;1542,0;4,0;385,5;1
84;6;1;1572,0;3,0;524,0;1
85;0;0;584,0;1,0;584,0;1
86;1;0;1128,0;3,0;376,0;1
87;2;0;730,0;2,0;365,0;1
88;3;0;525,0;1,0;525,0;1
89;4;0;1300,0;3,0;433,3333333333333;1
90;5;1;1077,0;2,0;538,5;1
91;6;1;1000,0;2,0;500,0;1
92;0;0;1390,0;4,0;347,5;1
93;1;0;1663,0;4,0;415,75;1
94;2;0;1191,0;3,0;397,0;1
95;3;0;1161,0;3,0;387,0;1
96;4;0;1318,0;3,0;439,3333333333333;1
97;5;1;1812,0;4,0;453,0;1
98;6;1;701,0;2,0;350,5;1
99;0;0;1269,0;3,0;423,0;1
100;1;0;1530,0;3,0;510,0;1
101;2;0;2099,0;4,0;524,75;1
102;3;0;1278,0;3,0;426,0;1
103;4;0;914,0;2,0;457,0;1
104;5;1;1083,0;2,0;541,5;1
105;6;1;972,0;2,0;486,0;1
106;0;0;1886,0;4,0;471,5;1
107;1;0;1258,0;3,0;419,3333333333333;1
108;2;0;991,0;3,0;330,3333333333333;1
109;3;0;792,0;2,0;396,0;1
110;4;0;589,0;1,0;589,0;1
111;5;1;1549,0;3,0;516,3333333333334;1
112;6;1;302,0;1,0;302,0;1
113;0;0;1300,0;3,0;433,3333333333333;1
114;1;0;982,0;2,0;491,0;1
115;2;0;846,0;2,0;423,0;1
116;3;0;1613,0;3,0;537,6666666666666;1
117;4;0;2234,0;5,0;446,8;1
118;5;1;1124,0;3,0;374,6666666666667;1
119;6;1;1380,0;3,0;460,0;1
120;0;0;1026,0;2,0;513,0;1
121;1;0;1525,0;3,0;508,3333333333333;1
122;2;0;1094,0;2,0;547,0;1
123;3;0;774,0;2,0;387,0;1
124;4;0;1423,0;3,0;474,3333333333333;1
125;5;1;1005,0;2,0;502,5;1
126;6;1;717,0;2,0;358,5;1
127;0;0;890,0;2,0;445,0;1
128;1;0;1666,0;4,0;416,5;1
129;2;0;576,0;1,0;576,0;1
130;3;0;1630,0;3,0;543,3333333333334;1
131;4;0;1353,0;3,0;451,0;1
132;5;1;1977,0;4,0;494,25;1
133;6;1;980,0;2,0;490,0;1
134;0;0;1560,0;4,0;390,0;1
135;1;0;1173,0;3,0;391,0;1
136;2;0;1170,0;3,0;390,0;1
137;3;0;959,0;2,0;479,5;1
138;4;0;739,0;2,0;369,5;1
139;5;1;471,0;1,0;471,0;1
140;6;1;461,0;1,0;461,0;1
141;0;0;1386,0;3,0;462,0;1
142;1;0;1069,0;3,0;356,3333333333333;1
143;2;0;1426,0;3,0;475,3333333333333;1
144;3;0;1715,0;4,0;428,75;1
145;4;0;493,0;1,0;493,0;1
146;5;1;1961,0;5,0;392,2;1
147;6;1;834,0;2,0;417,0;1
148;0;0;1503,0;3,0;501,0;1
149;1;0;1279,0;3,0;426,3333333333333;1
150;2;0;1342,0;3,0;447,3333333333333;1
151;3;0;1629,0;3,0;543,0;1
152;4;0;907,0;2,0;453,5;1
153;5;1;1803,0;4,0;450,75;1
154;6;1;702,0;2,0;351,0;1
155;0;0;1278,0;3,0;426,0;1
156;1;0;430,0;1,0;430,0;1
157;2;0;1494,0;4,0;373,5;1
158;3;0;1192,0;3,0;397,3333333333333;1
159;4;0;1072,0;2,0;536,0;1
160;5;1;1330,0;3,0;443,3333333333333;1
161;6;1;1089,0;3,0;363,0;1
162;0;0;1808,0;4,0;452,0;1
163;1;0;2205,0;5,0;441,0;1
164;2;0;1227,0;3,0;409,0;1
165;3;0;1319,0;3,0;439,6666666666667;1
166;4;0;414,0;1,0;414,0;1
167;5;1;945,0;2,0;472,5;1
168;6;1;745,0;2,0;372,5;1
169;0;0;1080,0;3,0;360,0;1
170;1;0;1950,0;4,0;487,5;1
171;2;0;1796,0;4,0;449,0;1
172;3;0;1218,0;3,0;406,0;1
173;4;0;1330,0;3,0;443,3333333333333;1
174;5;1;1976,0;4,0;494,0;1
175;6;1;1605,0;4,0;401,25;1
176;0;0;1618,0;4,0;404,5;1
177;1;0;1458,0;3,0;486,0;1
178;2;0;1104,0;3,0;368,0;1
179;3;0;408,0;1,0;408,0;1
180;4;0;1518,0;3,0;506,0;1
181;5;1;1096,0;3,0;365,3333333333333;1
182;6;1;1709,0;4,0;427,25;1
183;0;0;1545,0;3,0;515,0;1
184;1;0;1444,0;3,0;481,3333333333333;1
185;2;0;1491,0;3,0;497,0;1
186;3;0;1682,0;4,0;420,5;1
187;4;0;1012,0;2,0;506,0;1
188;5;1;1062,0;2,0;531,0;1
189;6;1;1870,0;4,0;467,5;1
190;0;0;1434,0;3,0;478,0;1
191;1;0;2186,0;5,0;437,2;1
192;2;0;1533,0;4,0;383,25;1
193;3;0;2409,0;5,0;481,8;1
194;4;0;1672,0;4,0;418,0;1
195;5;1;1649,0;4,0;412,25;1
196;6;1;1395,0;3,0;465,0;1
197;0;0;1647,0;4,0;411,75;1
198;1;0;1697,0;4,0;424,25;1
199;2;0;1351,0;3,0;450,3333333333333;1
200;3;0;765,0;2,0;382,5;1
201;4;0;2287,0;4,0;571,75;1
202;5;1;1677,0;4,0;419,25;1
203;6;1;1196,0;3,0;398,6666666666667;1
204;0;0;1953,0;4,0;488,25;1
205;1;0;1327,0;3,0;442,3333333333333;1
206;2;0;961,0;2,0;480,5;1
207;3;0;1839,0;4,0;459,75;1
208;4;0;383,0;1,0;383,0;1
209;5;1;787,0;2,0;393,5;1
210;6;1;450,0;1,0;450,0;1
211;0;0;880,0;2,0;440,0;1
212;1;0;1997,0;4,0;499,25;1
