dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;1;0;24939,0;2,0;12469,5;1
2;2;0;47166,0;3,0;15722,0;1
3;3;0;43603,0;3,0;14534,333333333334;1
4;4;0;37225,0;3,0;12408,333333333334;1
5;5;1;44044,0;3,0;14681,333333333334;1
6;6;1;44992,0;3,0;14997,333333333334;1
7;0;0;44029,0;3,0;14676,333333333334;1
8;1;0;37350,0;3,0;12450,0;1
9;2;0;53418,0;3,0;17806,0;1
10;3;0;15063,0;2,0;7531,5;1
11;4;0;54915,0;3,0;18305,0;1
12;5;1;23875,0;2,0;11937,5;1
13;6;1;66400,0;4,0;16600,0;1
14;0;0;43156,0;3,0;14385,333333333334;1
15;1;0;41057,0;3,0;13685,666666666666;1
16;2;0;39492,0;3,0;13164,0;1
17;3;0;42239,0;3,0;14079,666666666666;1
18;4;0;49682,0;3,0;16560,666666666668;1
19;5;1;16556,0;2,0;8278,0;1
20;6;1;43026,0;3,0;14342,0;1
21;0;0;37222,0;2,0;18611,0;1
22;1;0;42519,0;3,0;14173,0;1
23;2;0;57266,0;3,0;19088,666666666668;1
24;3;0;18985,0;2,0;9492,5;1
25;4;0;64967,0;4,0;16241,75;1
26;5;1;38596,0;3,0;12865,333333333334;1
27;6;1;43770,0;3,0;14590,0;1
28;0;0;44710,0;3,0;14903,333333333334;1
29;1;0;35424,0;3,0;11808,0;1
30;2;0;49999,0;3,0;16666,333333333332;1
31;3;0;38814,0;3,0;12938,0;1
32;4;0;35904,0;3,0;11968,0;1
33;5;1;51989,0;3,0;17329,666666666668;1
34;6;1;41578,0;3,0;13859,333333333334;1
35;0;0;42140,0;3,0;14046,666666666666;1
36;1;0;48319,0;3,0;16106,333333333334;1
37;2;0;30950,0;3,0;10316,666666666666;1
38;3;0;28127,0;2,0;14063,5;1
39;4;0;48739,0;3,0;16246,333333333334;1
40;5;1;28394,0;2,0;14197,0;1
41;6;1;68220,0;4,0;17055,0;1
42;0;0;36526,0;3,0;12175,333333333334;1
43;1;0;45279,0;3,0;15093,0;1
