dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;0;0;2840,0;6,0;473,3333333333333;1
2;1;0;1937,0;4,0;484,25;1
3;2;0;2800,0;7,0;400,0;1
4;3;0;2401,0;5,0;480,2;1
5;4;0;1429,0;3,0;476,3333333333333;1
6;5;1;1068,0;3,0;356,0;1
7;6;1;2082,0;5,0;416,4;1
8;0;0;2121,0;5,0;424,2;1
9;1;0;2615,0;5,0;523,0;1
10;2;0;1373,0;3,0;457,6666666666667;1
11;3;0;1652,0;4,0;413,0;1
12;4;0;2533,0;6,0;422,1666666666667;1
13;5;1;1032,0;2,0;516,0;1
14;6;1;1556,0;3,0;518,6666666666666;1
15;0;0;2230,0;5,0;446,0;1
16;1;0;2341,0;5,0;468,2;1
17;2;0;2462,0;5,0;492,4;1
18;3;0;1408,0;4,0;352,0;1
19;4;0;1858,0;4,0;464,5;1
20;5;1;2030,0;4,0;507,5;1
21;6;1;410,0;1,0;410,0;1
22;0;0;1374,0;3,0;458,0;1
23;1;0;2079,0;4,0;519,75;1
24;2;0;2807,0;5,0;561,4;1
25;3;0;1084,0;3,0;361,3333333333333;1
26;4;0;2323,0;5,0;464,6;1
27;5;1;976,0;2,0;488,0;1
28;6;1;781,0;2,0;390,5;1
29;0;0;2220,0;5,0;444,0;1
30;1;0;1994,0;5,0;398,8;1
31;2;0;1565,0;4,0;391,25;1
32;3;0;1932,0;4,0;483,0;1
33;4;0;1533,0;3,0;511,0;1
34;5;1;2341,0;5,0;468,2;1
35;6;1;778,0;2,0;389,0;1
36;0;0;3353,0;8,0;419,125;1
37;1;0;3613,0;8,0;451,625;1
38;2;0;2456,0;6,0;409,3333333333333;1
39;3;0;1269,0;3,0;423,0;1
40;4;0;2064,0;5,0;412,8;1
41;5;1;1831,0;4,0;457,75;1
42;6;1;1587,0;4,0;396,75;1
43;0;0;929,0;2,0;464,5;1
44;1;0;2226,0;5,0;445,2;1
45;2;0;2620,0;5,0;524,0;1
46;3;0;3664,0;7,0;523,4285714285714;1
47;4;0;2249,0;5,0;449,8;1
48;5;1;1956,0;4,0;489,0;1
49;6;1;2063,0;5,0;412,6;1
50;0;0;1683,0;4,0;420,75;1
51;1;0;2273,0;5,0;454,6;1
52;2;0;1161,0;3,0;387,0;1
53;3;0;3297,0;7,0;471,0;1
54;4;0;1914,0;4,0;478,5;1
55;5;1;1102,0;3,0;367,3333333333333;1
56;6;1;1769,0;4,0;442,25;1
57;0;0;874,0;2,0;437,0;1
58;1;0;1844,0;4,0;461,0;1
59;2;0;1472,0;3,0;490,6666666666667;1
60;3;0;1826,0;4,0;456,5;1
61;4;0;1968,0;5,0;393,6;1
62;5;1;2243,0;5,0;448,6;1
63;6;1;1857,0;5,0;371,4;1
64;0;0;1352,0;3,0;450,6666666666667;1
65;1;0;2961,0;6,0;493,5;1
66;2;0;2991,0;6,0;498,5;1
67;3;0;1319,0;3,0;439,6666666666667;1
68;4;0;3015,0;7,0;430,7142857142857;1
69;5;1;2266,0;5,0;453,2;1
70;6;1;1319,0;3,0;439,6666666666667;1
71;0;0;1750,0;4,0;437,5;1
72;1;0;1566,0;4,0;391,5;1
73;2;0;2420,0;5,0;484,0;1
74;3;0;3090,0;7,0;441,4285714285714;1
75;4;0;1460,0;3,0;486,6666666666667;1
76;5;1;1039,0;2,0;519,5;1
77;6;1;2369,0;5,0;473,8;1
78;0;0;1772,0;4,0;443,0;1
79;1;0;1164,0;3,0;388,0;1
80;2;0;3276,0;8,0;409,5;1
81;3;0;2639,0;6,0;439,8333333333333;1
82;4;0;2574,0;5,0;514,8;1
83;5;1;1693,0;4,0;423,25;1
84;6;1;878,0;2,0;439,0;1
85;0;0;2268,0;5,0;453,6;1
86;1;0;2674,0;6,0;445,6666666666667;1
87;2;0;1938,0;4,0;484,5;1
88;3;0;2390,0;5,0;478,0;1
89;4;0;2110,0;5,0;422,0;1
90;5;1;2130,0;5,0;426,0;1
91;6;1;2188,0;5,0;437,6;1
92;0;0;3049,0;7,0;435,57142857142856;1
