dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;1;0;10366,0;2,0;5183,0;1
2;2;0;5679,0;2,0;2839,5;1
3;3;0;11060,0;5,0;2212,0;1
4;4;0;12403,0;3,0;4134,333333333333;1
5;5;1;10864,0;5,0;2172,8;1
6;6;1;18220,0;4,0;4555,0;1
7;0;0;2078,0;1,0;2078,0;1
8;1;0;5072,0;1,0;5072,0;1
9;2;0;7288,0;3,0;2429,333333333333;1
10;3;0;15202,0;5,0;3040,4;1
11;4;0;9805,0;3,0;3268,333333333333;1
12;5;1;13196,0;5,0;2639,2;1
13;6;1;5796,0;2,0;2898,0;1
14;0;0;11274,0;2,0;5637,0;1
15;1;0;5870,0;2,0;2935,0;1
16;2;0;14684,0;3,0;4894,666666666667;1
17;3;0;6423,0;3,0;2141,0;1
18;4;0;8998,0;4,0;2249,5;1
19;5;1;9418,0;4,0;2354,5;1
20;6;1;17841,0;5,0;3568,2;1
21;0;0;8054,0;2,0;4027,0;1
22;1;0;16816,0;6,0;2802,6666666666665;1
23;2;0;9991,0;3,0;3330,333333333333;1
24;3;0;13223,0;5,0;2644,6;1
25;4;0;10158,0;3,0;3386,0;1
26;5;1;10913,0;3,0;3637,6666666666665;1
27;6;1;11324,0;4,0;2831,0;1
28;0;0;12909,0;4,0;3227,25;1
29;1;0;14665,0;6,0;2444,1666666666665;1
30;2;0;18054,0;5,0;3610,8;1
31;3;0;14727,0;5,0;2945,4;1
32;4;0;9838,0;3,0;3279,333333333333;1
33;5;1;8851,0;3,0;2950,333333333333;1
34;6;1;9606,0;3,0;3202,0;1
35;0;0;13196,0;4,0;3299,0;1
36;1;0;9346,0;3,0;3115,333333333333;1
37;2;0;14427,0;4,0;3606,75;1
38;3;0;19553,0;6,0;3258,833333333333;1
39;4;0;18338,0;6,0;3056,333333333333;1
40;5;1;9902,0;3,0;3300,6666666666665;1
41;6;1;13718,0;3,0;4572,666666666667;1
42;0;0;11335,0;2,0;5667,5;1
43;1;0;4858,0;2,0;2429,0;1
44;2;0;9246,0;3,0;3082,0;1
45;3;0;6581,0;2,0;3290,5;1
46;4;0;14063,0;4,0;3515,75;1
47;5;1;8486,0;4,0;2121,5;1
48;6;1;4903,0;1,0;4903,0;1
49;0;0;9137,0;2,0;4568,5;1
50;1;0;10934,0;4,0;2733,5;1
51;2;0;10142,0;4,0;2535,5;1
52;3;0;8042,0;2,0;4021,0;1
53;4;0;15809,0;4,0;3952,25;1
54;5;1;11303,0;3,0;3767,6666666666665;1
55;6;1;12205,0;4,0;3051,25;1
56;0;0;10879,0;2,0;5439,5;1
57;1;0;8917,0;3,0;2972,333333333333;1
58;2;0;5907,0;2,0;2953,5;1
59;3;0;14863,0;3,0;4954,333333333333;1
60;4;0;7873,0;3,0;2624,333333333333;1
61;5;1;8429,0;4,0;2107,25;1
62;6;1;13697,0;5,0;2739,4;1
63;0;0;11296,0;3,0;3765,3333333333335;1
64;1;0;10701,0;3,0;3567,0;1
65;2;0;1941,0;1,0;1941,0;1
66;3;0;8280,0;4,0;2070,0;1
67;4;0;10210,0;3,0;3403,333333333333;1
68;5;1;12259,0;3,0;4086,3333333333335;1
69;6;1;15000,0;6,0;2500,0;1
70;0;0;2625,0;1,0;2625,0;1
71;1;0;10028,0;3,0;3342,6666666666665;1
72;2;0;13150,0;5,0;2630,0;1
