dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;0;0;2971,0;10,0;297,1;1
2;1;0;2659,0;10,0;265,9;1
3;2;0;2359,0;8,0;294,875;1
4;3;0;2862,0;11,0;260,1818181818182;1
5;4;0;1066,0;4,0;266,5;1
6;5;1;2295,0;8,0;286,875;1
7;6;1;2556,0;9,0;284,0;1
8;0;0;2662,0;10,0;266,2;1
9;1;0;2133,0;7,0;304,7142857142857;1
10;2;0;1615,0;6,0;269,1666666666667;1
11;3;0;1661,0;6,0;276,8333333333333;1
12;4;0;2769,0;10,0;276,9;1
13;5;1;1458,0;6,0;243,0;1
14;6;1;1787,0;7,0;255,28571428571428;1
15;0;0;1058,0;4,0;264,5;1
16;1;0;2497,0;10,0;249,7;1
17;2;0;1759,0;6,0;293,1666666666667;1
18;3;0;1371,0;6,0;228,5;1
19;4;0;2556,0;10,0;255,6;1
20;5;1;1724,0;6,0;287,3333333333333;1
21;6;1;1186,0;4,0;296,5;1
22;0;0;1866,0;7,0;266,57142857142856;1
23;1;0;2224,0;8,0;278,0;1
24;2;0;2569,0;10,0;256,9;1
25;3;0;1362,0;5,0;272,4;1
26;4;0;1898,0;7,0;271,1428571428572;1
27;5;1;1148,0;5,0;229,6;1
28;6;1;1552,0;7,0;221,7142857142857;1
29;0;0;1904,0;7,0;272,0;1
30;1;0;1587,0;6,0;264,5;1
31;2;0;2069,0;8,0;258,625;1
32;3;0;1574,0;6,0;262,3333333333333;1
33;4;0;1654,0;6,0;275,6666666666667;1
34;5;1;1858,0;7,0;265,42857142857144;1
35;6;1;1954,0;7,0;279,1428571428572;1
36;0;0;2366,0;8,0;295,75;1
37;1;0;2436,0;11,0;221,45454545454547;1
38;2;0;3203,0;12,0;266,9166666666667;1
39;3;0;1438,0;5,0;287,6;1
40;4;0;1525,0;6,0;254,16666666666663;1
41;5;1;938,0;4,0;234,5;1
42;6;1;2546,0;9,0;282,8888888888889;1
43;0;0;1734,0;7,0;247,7142857142857;1
44;1;0;2844,0;10,0;284,4;1
45;2;0;2691,0;10,0;269,1;1
46;3;0;2431,0;10,0;243,1;1
47;4;0;2292,0;9,0;254,66666666666663;1
48;5;1;1856,0;7,0;265,1428571428572;1
49;6;1;2426,0;9,0;269,55555555555554;1
50;0;0;1648,0;6,0;274,6666666666667;1
51;1;0;2127,0;8,0;265,875;1
52;2;0;1317,0;4,0;329,25;1
53;3;0;1848,0;7,0;264,0;1
54;4;0;1399,0;5,0;279,8;1
55;5;1;1731,0;7,0;247,28571428571428;1
56;6;1;1821,0;7,0;260,1428571428572;1
57;0;0;2302,0;8,0;287,75;1
58;1;0;1152,0;4,0;288,0;1
59;2;0;1729,0;6,0;288,1666666666667;1
60;3;0;1712,0;6,0;285,3333333333333;1
61;4;0;2353,0;9,0;261,44444444444446;1
62;5;1;2159,0;8,0;269,875;1
63;6;1;2075,0;8,0;259,375;1
64;0;0;1998,0;7,0;285,42857142857144;1
65;1;0;3382,0;13,0;260,15384615384613;1
66;2;0;2036,0;7,0;290,85714285714283;1
67;3;0;3018,0;11,0;274,3636363636364;1
68;4;0;2536,0;10,0;253,6;1
69;5;1;2948,0;11,0;268,0;1
70;6;1;1784,0;7,0;254,8571428571429;1
71;0;0;1793,0;7,0;256,1428571428572;1
72;1;0;2310,0;9,0;256,6666666666667;1
73;2;0;1870,0;7,0;267,1428571428572;1
74;3;0;2591,0;11,0;235,54545454545453;1
75;4;0;1314,0;5,0;262,8;1
76;5;1;2096,0;8,0;262,0;1
77;6;1;1846,0;7,0;263,7142857142857;1
78;0;0;1566,0;6,0;261,0;1
79;1;0;2034,0;8,0;254,25;1
80;2;0;3265,0;11,0;296,8181818181818;1
81;3;0;1576,0;6,0;262,6666666666667;1
82;4;0;2712,0;9,0;301,3333333333333;1
83;5;1;1441,0;5,0;288,2;1
84;6;1;2518,0;9,0;279,77777777777777;1
85;0;0;1911,0;7,0;273,0;1
86;1;0;2352,0;8,0;294,0;1
87;2;0;1995,0;7,0;285,0;1
88;3;0;2762,0;9,0;306,8888888888889;1
89;4;0;1801,0;7,0;257,2857142857143;1
90;5;1;1611,0;6,0;268,5;1
91;6;1;1540,0;6,0;256,6666666666667;1
92;0;0;2899,0;11,0;263,54545454545456;1
93;1;0;1742,0;7,0;248,8571428571429;1
94;2;0;2247,0;9,0;249,66666666666663;1
95;3;0;2703,0;10,0;270,3;1
96;4;0;1780,0;6,0;296,6666666666667;1
97;5;1;2234,0;9,0;248,22222222222223;1
98;6;1;2203,0;8,0;275,375;1
99;0;0;2450,0;9,0;272,22222222222223;1
100;1;0;2596,0;9,0;288,44444444444446;1
101;2;0;2464,0;8,0;308,0;1
102;3;0;1319,0;5,0;263,8;1
103;4;0;1526,0;6,0;254,3333333333333;1
104;5;1;2020,0;8,0;252,5;1
105;6;1;579,0;3,0;193,0;1
106;0;0;1473,0;6,0;245,5;1
107;1;0;2724,0;10,0;272,4;1
108;2;0;2158,0;8,0;269,75;1
109;3;0;2233,0;9,0;248,11111111111111;1
110;4;0;1524,0;5,0;304,8;1
111;5;1;1916,0;7,0;273,7142857142857;1
112;6;1;2204,0;8,0;275,5;1
113;0;0;2237,0;8,0;279,625;1
114;1;0;1530,0;6,0;255,0;1
115;2;0;2924,0;11,0;265,8181818181818;1
116;3;0;1799,0;7,0;257,0;1
117;4;0;1941,0;8,0;242,625;1
118;5;1;2054,0;8,0;256,75;1
119;6;1;2032,0;8,0;254,0;1
120;0;0;3099,0;11,0;281,72727272727275;1
121;1;0;1424,0;6,0;237,3333333333333;1
122;2;0;3221,0;13,0;247,7692307692308;1
123;3;0;1179,0;4,0;294,75;1
124;4;0;2277,0;8,0;284,625;1
125;5;1;1925,0;7,0;275,0;1
126;6;1;1274,0;6,0;212,3333333333333;1
127;0;0;1558,0;6,0;259,6666666666667;1
128;1;0;2136,0;8,0;267,0;1
129;2;0;1756,0;8,0;219,5;1
130;3;0;2857,0;11,0;259,72727272727275;1
131;4;0;2391,0;9,0;265,6666666666667;1
132;5;1;1254,0;5,0;250,8;1
133;6;1;1848,0;7,0;264,0;1
134;0;0;2050,0;8,0;256,25;1
135;1;0;2068,0;7,0;295,42857142857144;1
136;2;0;1312,0;5,0;262,4;1
137;3;0;3061,0;11,0;278,27272727272725;1
138;4;0;3005,0;11,0;273,1818181818182;1
139;5;1;1399,0;6,0;233,16666666666663;1
140;6;1;788,0;3,0;262,6666666666667;1
141;0;0;3019,0;11,0;274,45454545454544;1
142;1;0;2359,0;9,0;262,1111111111111;1
143;2;0;3329,0;11,0;302,6363636363636;1
144;3;0;3664,0;14,0;261,7142857142857;1
145;4;0;2097,0;8,0;262,125;1
146;5;1;2647,0;9,0;294,1111111111111;1
147;6;1;2034,0;8,0;254,25;1
148;0;0;3076,0;11,0;279,6363636363636;1
149;1;0;2653,0;10,0;265,3;1
150;2;0;2616,0;9,0;290,6666666666667;1
151;3;0;1493,0;5,0;298,6;1
152;4;0;2354,0;8,0;294,25;1
153;5;1;3037,0;11,0;276,09090909090907;1
154;6;1;1767,0;7,0;252,42857142857144;1
155;0;0;2784,0;11,0;253,0909090909091;1
156;1;0;2725,0;9,0;302,77777777777777;1
157;2;0;2462,0;9,0;273,55555555555554;1
158;3;0;1601,0;6,0;266,8333333333333;1
159;4;0;2132,0;8,0;266,5;1
160;5;1;2002,0;8,0;250,25;1
161;6;1;1476,0;6,0;246,0;1
162;0;0;3502,0;13,0;269,38461538461536;1
163;1;0;1942,0;8,0;242,75;1
164;2;0;2665,0;10,0;266,5;1
165;3;0;2141,0;7,0;305,85714285714283;1
166;4;0;2755,0;11,0;250,45454545454547;1
167;5;1;2168,0;8,0;271,0;1
168;6;1;1802,0;7,0;257,42857142857144;1
169;0;0;2184,0;9,0;242,66666666666663;1
170;1;0;2082,0;8,0;260,25;1
171;2;0;1226,0;4,0;306,5;1
172;3;0;2661,0;10,0;266,1;1
173;4;0;2659,0;10,0;265,9;1
174;5;1;1954,0;7,0;279,1428571428572;1
175;6;1;1750,0;6,0;291,6666666666667;1
176;0;0;2668,0;11,0;242,54545454545453;1
177;1;0;1589,0;7,0;227,0;1
178;2;0;1864,0;7,0;266,2857142857143;1
179;3;0;1523,0;5,0;304,6;1
180;4;0;2125,0;8,0;265,625;1
181;5;1;2336,0;8,0;292,0;1
182;6;1;1418,0;5,0;283,6;1
183;0;0;2054,0;8,0;256,75;1
184;1;0;1360,0;5,0;272,0;1
185;2;0;2648,0;10,0;264,8;1
186;3;0;1488,0;5,0;297,6;1
187;4;0;1702,0;7,0;243,1428571428572;1
188;5;1;2607,0;9,0;289,6666666666667;1
189;6;1;1876,0;7,0;268,0;1
190;0;0;3245,0;11,0;295,0;1
