semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;6;56;19;3;0,7380952380952381;0,24;0,6666666666666666;0,3529411764705882;iforest;20-60;cclothes
3;2;58;23;1;0,7142857142857143;0,08;0,6666666666666666;0,14285714285714285;iforest;20-60;cclothes
4;7;56;18;3;0,75;0,28;0,7;0,4;iforest;20-60;cclothes
5;4;59;21;0;0,75;0,16;1,0;0,2758620689655173;iforest;20-60;cclothes
6;2;59;23;0;0,7261904761904762;0,08;1,0;0,14814814814814814;iforest;20-60;cclothes
7;4;59;21;0;0,75;0,16;1,0;0,2758620689655173;iforest;20-60;cclothes
8;2;59;23;0;0,7261904761904762;0,08;1,0;0,14814814814814814;iforest;20-60;cclothes
9;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
10;2;59;23;0;0,7261904761904762;0,08;1,0;0,14814814814814814;iforest;20-60;cclothes
11;1;59;24;0;0,7142857142857143;0,04;1,0;0,07692307692307693;iforest;20-60;cclothes
12;2;58;23;1;0,7142857142857143;0,08;0,6666666666666666;0,14285714285714285;iforest;20-60;cclothes
13;1;59;24;0;0,7142857142857143;0,04;1,0;0,07692307692307693;iforest;20-60;cclothes
14;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
15;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
16;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
17;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
18;2;59;23;0;0,7261904761904762;0,08;1,0;0,14814814814814814;iforest;20-60;cclothes
19;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
20;0;59;25;0;0,7023809523809523;0,0;;;iforest;20-60;cclothes
