semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;20;59;5;0;0,9404761904761905;0,8;1,0;0,888888888888889;lof;20-60;cclothes
3;21;59;4;0;0,9523809523809523;0,84;1,0;0,9130434782608696;lof;20-60;cclothes
4;21;59;4;0;0,9523809523809523;0,84;1,0;0,9130434782608696;lof;20-60;cclothes
5;21;59;4;0;0,9523809523809523;0,84;1,0;0,9130434782608696;lof;20-60;cclothes
6;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;lof;20-60;cclothes
7;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;lof;20-60;cclothes
8;22;57;3;2;0,9404761904761905;0,88;0,9166666666666666;0,8979591836734694;lof;20-60;cclothes
9;22;57;3;2;0,9404761904761905;0,88;0,9166666666666666;0,8979591836734694;lof;20-60;cclothes
10;22;56;3;3;0,9285714285714286;0,88;0,88;0,88;lof;20-60;cclothes
11;22;56;3;3;0,9285714285714286;0,88;0,88;0,88;lof;20-60;cclothes
12;22;56;3;3;0,9285714285714286;0,88;0,88;0,88;lof;20-60;cclothes
13;22;57;3;2;0,9404761904761905;0,88;0,9166666666666666;0,8979591836734694;lof;20-60;cclothes
14;22;57;3;2;0,9404761904761905;0,88;0,9166666666666666;0,8979591836734694;lof;20-60;cclothes
15;22;55;3;4;0,9166666666666666;0,88;0,8461538461538461;0,8627450980392156;lof;20-60;cclothes
16;22;51;3;8;0,8690476190476191;0,88;0,7333333333333333;0,8;lof;20-60;cclothes
17;22;53;3;6;0,8928571428571429;0,88;0,7857142857142857;0,830188679245283;lof;20-60;cclothes
18;22;55;3;4;0,9166666666666666;0,88;0,8461538461538461;0,8627450980392156;lof;20-60;cclothes
19;22;55;3;4;0,9166666666666666;0,88;0,8461538461538461;0,8627450980392156;lof;20-60;cclothes
20;22;55;3;4;0,9166666666666666;0,88;0,8461538461538461;0,8627450980392156;lof;20-60;cclothes
