semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;25;23;0;36;0,5714285714285714;1,0;0,4098360655737705;0,5813953488372093;ocsvm;20-60;cclothes
3;25;31;0;28;0,6666666666666666;1,0;0,4716981132075472;0,641025641025641;ocsvm;20-60;cclothes
4;25;38;0;21;0,75;1,0;0,5434782608695652;0,704225352112676;ocsvm;20-60;cclothes
5;25;39;0;20;0,7619047619047619;1,0;0,5555555555555556;0,7142857142857143;ocsvm;20-60;cclothes
6;25;42;0;17;0,7976190476190477;1,0;0,5952380952380952;0,7462686567164178;ocsvm;20-60;cclothes
7;24;43;1;16;0,7976190476190477;0,96;0,6;0,7384615384615384;ocsvm;20-60;cclothes
8;24;43;1;16;0,7976190476190477;0,96;0,6;0,7384615384615384;ocsvm;20-60;cclothes
9;24;46;1;13;0,8333333333333334;0,96;0,6486486486486487;0,7741935483870968;ocsvm;20-60;cclothes
10;24;46;1;13;0,8333333333333334;0,96;0,6486486486486487;0,7741935483870968;ocsvm;20-60;cclothes
11;24;45;1;14;0,8214285714285714;0,96;0,631578947368421;0,7619047619047619;ocsvm;20-60;cclothes
12;24;44;1;15;0,8095238095238095;0,96;0,6153846153846154;0,7500000000000001;ocsvm;20-60;cclothes
13;24;44;1;15;0,8095238095238095;0,96;0,6153846153846154;0,7500000000000001;ocsvm;20-60;cclothes
14;24;50;1;9;0,8809523809523809;0,96;0,7272727272727273;0,8275862068965517;ocsvm;20-60;cclothes
15;25;50;0;9;0,8928571428571429;1,0;0,7352941176470589;0,8474576271186441;ocsvm;20-60;cclothes
16;24;51;1;8;0,8928571428571429;0,96;0,75;0,8421052631578947;ocsvm;20-60;cclothes
17;25;53;0;6;0,9285714285714286;1,0;0,8064516129032258;0,8928571428571428;ocsvm;20-60;cclothes
18;25;53;0;6;0,9285714285714286;1,0;0,8064516129032258;0,8928571428571428;ocsvm;20-60;cclothes
19;25;53;0;6;0,9285714285714286;1,0;0,8064516129032258;0,8928571428571428;ocsvm;20-60;cclothes
20;25;53;0;6;0,9285714285714286;1,0;0,8064516129032258;0,8928571428571428;ocsvm;20-60;cclothes
