semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;23;56;2;3;0,9404761904761905;0,92;0,8846153846153846;0,9019607843137256;rce;20-60;cclothes
3;22;58;3;1;0,9523809523809523;0,88;0,9565217391304348;0,9166666666666666;rce;20-60;cclothes
4;25;58;0;1;0,9880952380952381;1,0;0,9615384615384616;0,9803921568627451;rce;20-60;cclothes
5;25;59;0;0;1,0;1,0;1,0;1,0;rce;20-60;cclothes
6;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;rce;20-60;cclothes
7;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;rce;20-60;cclothes
8;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;rce;20-60;cclothes
9;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;rce;20-60;cclothes
10;22;59;3;0;0,9642857142857143;0,88;1,0;0,9361702127659575;rce;20-60;cclothes
11;23;59;2;0;0,9761904761904762;0,92;1,0;0,9583333333333334;rce;20-60;cclothes
12;23;59;2;0;0,9761904761904762;0,92;1,0;0,9583333333333334;rce;20-60;cclothes
13;23;59;2;0;0,9761904761904762;0,92;1,0;0,9583333333333334;rce;20-60;cclothes
14;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
15;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
16;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
17;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
18;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
19;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
20;24;59;1;0;0,9880952380952381;0,96;1,0;0,9795918367346939;rce;20-60;cclothes
