semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;11;46;20;7;0,6785714285714286;0,3548387096774194;0,6111111111111112;0,4489795918367347;iforest;20-60;eating
3;11;52;20;1;0,75;0,3548387096774194;0,9166666666666666;0,5116279069767442;iforest;20-60;eating
4;1;53;30;0;0,6428571428571429;0,03225806451612903;1,0;0,0625;iforest;20-60;eating
5;3;53;28;0;0,6666666666666666;0,0967741935483871;1,0;0,17647058823529413;iforest;20-60;eating
6;2;53;29;0;0,6547619047619048;0,06451612903225806;1,0;0,12121212121212122;iforest;20-60;eating
7;2;53;29;0;0,6547619047619048;0,06451612903225806;1,0;0,12121212121212122;iforest;20-60;eating
8;2;53;29;0;0,6547619047619048;0,06451612903225806;1,0;0,12121212121212122;iforest;20-60;eating
9;5;53;26;0;0,6904761904761905;0,16129032258064516;1,0;0,27777777777777773;iforest;20-60;eating
10;12;53;19;0;0,7738095238095238;0,3870967741935484;1,0;0,5581395348837209;iforest;20-60;eating
11;11;53;20;0;0,7619047619047619;0,3548387096774194;1,0;0,5238095238095238;iforest;20-60;eating
12;14;53;17;0;0,7976190476190477;0,45161290322580644;1,0;0,6222222222222222;iforest;20-60;eating
13;14;53;17;0;0,7976190476190477;0,45161290322580644;1,0;0,6222222222222222;iforest;20-60;eating
14;17;53;14;0;0,8333333333333334;0,5483870967741935;1,0;0,7083333333333333;iforest;20-60;eating
15;17;52;14;1;0,8214285714285714;0,5483870967741935;0,9444444444444444;0,6938775510204082;iforest;20-60;eating
16;15;53;16;0;0,8095238095238095;0,4838709677419355;1,0;0,6521739130434783;iforest;20-60;eating
17;19;53;12;0;0,8571428571428571;0,6129032258064516;1,0;0,76;iforest;20-60;eating
18;23;53;8;0;0,9047619047619048;0,7419354838709677;1,0;0,8518518518518519;iforest;20-60;eating
19;0;53;31;0;0,6309523809523809;0,0;;;iforest;20-60;eating
20;2;53;29;0;0,6547619047619048;0,06451612903225806;1,0;0,12121212121212122;iforest;20-60;eating
