semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;25;53;6;0;0,9285714285714286;0,8064516129032258;1,0;0,8928571428571428;lof;20-60;eating
3;24;53;7;0;0,9166666666666666;0,7741935483870968;1,0;0,8727272727272727;lof;20-60;eating
4;24;53;7;0;0,9166666666666666;0,7741935483870968;1,0;0,8727272727272727;lof;20-60;eating
5;26;53;5;0;0,9404761904761905;0,8387096774193549;1,0;0,9122807017543859;lof;20-60;eating
6;26;53;5;0;0,9404761904761905;0,8387096774193549;1,0;0,9122807017543859;lof;20-60;eating
7;27;53;4;0;0,9523809523809523;0,8709677419354839;1,0;0,9310344827586207;lof;20-60;eating
8;27;52;4;1;0,9404761904761905;0,8709677419354839;0,9642857142857143;0,9152542372881356;lof;20-60;eating
9;27;52;4;1;0,9404761904761905;0,8709677419354839;0,9642857142857143;0,9152542372881356;lof;20-60;eating
10;27;50;4;3;0,9166666666666666;0,8709677419354839;0,9;0,8852459016393444;lof;20-60;eating
11;28;51;3;2;0,9404761904761905;0,9032258064516129;0,9333333333333333;0,9180327868852459;lof;20-60;eating
12;29;50;2;3;0,9404761904761905;0,9354838709677419;0,90625;0,9206349206349206;lof;20-60;eating
13;29;50;2;3;0,9404761904761905;0,9354838709677419;0,90625;0,9206349206349206;lof;20-60;eating
14;30;52;1;1;0,9761904761904762;0,967741935483871;0,967741935483871;0,967741935483871;lof;20-60;eating
15;29;52;2;1;0,9642857142857143;0,9354838709677419;0,9666666666666667;0,9508196721311476;lof;20-60;eating
16;29;52;2;1;0,9642857142857143;0,9354838709677419;0,9666666666666667;0,9508196721311476;lof;20-60;eating
17;29;52;2;1;0,9642857142857143;0,9354838709677419;0,9666666666666667;0,9508196721311476;lof;20-60;eating
18;29;53;2;0;0,9761904761904762;0,9354838709677419;1,0;0,9666666666666666;lof;20-60;eating
19;29;52;2;1;0,9642857142857143;0,9354838709677419;0,9666666666666667;0,9508196721311476;lof;20-60;eating
20;30;52;1;1;0,9761904761904762;0,967741935483871;0,967741935483871;0,967741935483871;lof;20-60;eating
