semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;31;26;0;27;0,6785714285714286;1,0;0,5344827586206896;0,6966292134831461;ocsvm;20-60;eating
3;31;31;0;22;0,7380952380952381;1,0;0,5849056603773585;0,738095238095238;ocsvm;20-60;eating
4;31;37;0;16;0,8095238095238095;1,0;0,6595744680851063;0,7948717948717948;ocsvm;20-60;eating
5;31;40;0;13;0,8452380952380952;1,0;0,7045454545454546;0,8266666666666667;ocsvm;20-60;eating
6;31;44;0;9;0,8928571428571429;1,0;0,775;0,8732394366197184;ocsvm;20-60;eating
7;31;45;0;8;0,9047619047619048;1,0;0,7948717948717948;0,8857142857142858;ocsvm;20-60;eating
8;31;45;0;8;0,9047619047619048;1,0;0,7948717948717948;0,8857142857142858;ocsvm;20-60;eating
9;31;47;0;6;0,9285714285714286;1,0;0,8378378378378378;0,911764705882353;ocsvm;20-60;eating
10;31;47;0;6;0,9285714285714286;1,0;0,8378378378378378;0,911764705882353;ocsvm;20-60;eating
11;31;47;0;6;0,9285714285714286;1,0;0,8378378378378378;0,911764705882353;ocsvm;20-60;eating
12;31;46;0;7;0,9166666666666666;1,0;0,8157894736842105;0,898550724637681;ocsvm;20-60;eating
13;31;45;0;8;0,9047619047619048;1,0;0,7948717948717948;0,8857142857142858;ocsvm;20-60;eating
14;31;45;0;8;0,9047619047619048;1,0;0,7948717948717948;0,8857142857142858;ocsvm;20-60;eating
15;31;46;0;7;0,9166666666666666;1,0;0,8157894736842105;0,898550724637681;ocsvm;20-60;eating
16;31;45;0;8;0,9047619047619048;1,0;0,7948717948717948;0,8857142857142858;ocsvm;20-60;eating
17;31;47;0;6;0,9285714285714286;1,0;0,8378378378378378;0,911764705882353;ocsvm;20-60;eating
18;31;49;0;4;0,9523809523809523;1,0;0,8857142857142857;0,9393939393939393;ocsvm;20-60;eating
19;31;49;0;4;0,9523809523809523;1,0;0,8857142857142857;0,9393939393939393;ocsvm;20-60;eating
20;31;51;0;2;0,9761904761904762;1,0;0,9393939393939394;0,96875;ocsvm;20-60;eating
