semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;31;49;0;4;0,9523809523809523;1,0;0,8857142857142857;0,9393939393939393;rce;20-60;eating
3;31;52;0;1;0,9880952380952381;1,0;0,96875;0,9841269841269841;rce;20-60;eating
4;31;53;0;0;1,0;1,0;1,0;1,0;rce;20-60;eating
5;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
6;29;53;2;0;0,9761904761904762;0,9354838709677419;1,0;0,9666666666666666;rce;20-60;eating
7;29;53;2;0;0,9761904761904762;0,9354838709677419;1,0;0,9666666666666666;rce;20-60;eating
8;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
9;31;53;0;0;1,0;1,0;1,0;1,0;rce;20-60;eating
10;31;53;0;0;1,0;1,0;1,0;1,0;rce;20-60;eating
11;31;53;0;0;1,0;1,0;1,0;1,0;rce;20-60;eating
12;31;53;0;0;1,0;1,0;1,0;1,0;rce;20-60;eating
13;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
14;31;52;0;1;0,9880952380952381;1,0;0,96875;0,9841269841269841;rce;20-60;eating
15;31;52;0;1;0,9880952380952381;1,0;0,96875;0,9841269841269841;rce;20-60;eating
16;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
17;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
18;29;53;2;0;0,9761904761904762;0,9354838709677419;1,0;0,9666666666666666;rce;20-60;eating
19;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
20;30;53;1;0;0,9880952380952381;0,967741935483871;1,0;0,9836065573770492;rce;20-60;eating
