semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;31;40;11;2;0,8452380952380952;0,7380952380952381;0,9393939393939394;0,8266666666666667;iforest;dfreq;20-60
3;31;41;11;1;0,8571428571428571;0,7380952380952381;0,96875;0,8378378378378379;iforest;dfreq;20-60
4;28;42;14;0;0,8333333333333334;0,6666666666666666;1,0;0,8;iforest;dfreq;20-60
5;32;42;10;0;0,8809523809523809;0,7619047619047619;1,0;0,8648648648648648;iforest;dfreq;20-60
6;34;42;8;0;0,9047619047619048;0,8095238095238095;1,0;0,8947368421052632;iforest;dfreq;20-60
7;36;41;6;1;0,9166666666666666;0,8571428571428571;0,972972972972973;0,9113924050632912;iforest;dfreq;20-60
8;33;41;9;1;0,8809523809523809;0,7857142857142857;0,9705882352941176;0,8684210526315789;iforest;dfreq;20-60
9;34;41;8;1;0,8928571428571429;0,8095238095238095;0,9714285714285714;0,8831168831168832;iforest;dfreq;20-60
10;32;41;10;1;0,8690476190476191;0,7619047619047619;0,9696969696969697;0,8533333333333334;iforest;dfreq;20-60
11;34;41;8;1;0,8928571428571429;0,8095238095238095;0,9714285714285714;0,8831168831168832;iforest;dfreq;20-60
12;34;41;8;1;0,8928571428571429;0,8095238095238095;0,9714285714285714;0,8831168831168832;iforest;dfreq;20-60
13;36;41;6;1;0,9166666666666666;0,8571428571428571;0,972972972972973;0,9113924050632912;iforest;dfreq;20-60
14;35;41;7;1;0,9047619047619048;0,8333333333333334;0,9722222222222222;0,8974358974358975;iforest;dfreq;20-60
15;34;41;8;1;0,8928571428571429;0,8095238095238095;0,9714285714285714;0,8831168831168832;iforest;dfreq;20-60
16;35;41;7;1;0,9047619047619048;0,8333333333333334;0,9722222222222222;0,8974358974358975;iforest;dfreq;20-60
17;36;41;6;1;0,9166666666666666;0,8571428571428571;0,972972972972973;0,9113924050632912;iforest;dfreq;20-60
18;35;41;7;1;0,9047619047619048;0,8333333333333334;0,9722222222222222;0,8974358974358975;iforest;dfreq;20-60
19;35;41;7;1;0,9047619047619048;0,8333333333333334;0,9722222222222222;0,8974358974358975;iforest;dfreq;20-60
20;35;41;7;1;0,9047619047619048;0,8333333333333334;0,9722222222222222;0,8974358974358975;iforest;dfreq;20-60
