semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;30;27;12;15;0,6785714285714286;0,7142857142857143;0,6666666666666666;0,689655172413793;iforest;duracao;20-60
3;9;41;33;1;0,5952380952380952;0,21428571428571427;0,9;0,3461538461538461;iforest;duracao;20-60
4;15;39;27;3;0,6428571428571429;0,35714285714285715;0,8333333333333334;0,5;iforest;duracao;20-60
5;12;40;30;2;0,6190476190476191;0,2857142857142857;0,8571428571428571;0,42857142857142855;iforest;duracao;20-60
6;7;42;35;0;0,5833333333333334;0,16666666666666666;1,0;0,2857142857142857;iforest;duracao;20-60
7;9;42;33;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;iforest;duracao;20-60
8;7;41;35;1;0,5714285714285714;0,16666666666666666;0,875;0,27999999999999997;iforest;duracao;20-60
9;11;41;31;1;0,6190476190476191;0,2619047619047619;0,9166666666666666;0,4074074074074074;iforest;duracao;20-60
10;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;iforest;duracao;20-60
11;7;41;35;1;0,5714285714285714;0,16666666666666666;0,875;0,27999999999999997;iforest;duracao;20-60
12;7;42;35;0;0,5833333333333334;0,16666666666666666;1,0;0,2857142857142857;iforest;duracao;20-60
13;7;42;35;0;0,5833333333333334;0,16666666666666666;1,0;0,2857142857142857;iforest;duracao;20-60
14;6;41;36;1;0,5595238095238095;0,14285714285714285;0,8571428571428571;0,24489795918367344;iforest;duracao;20-60
15;10;41;32;1;0,6071428571428571;0,23809523809523808;0,9090909090909091;0,3773584905660377;iforest;duracao;20-60
16;11;41;31;1;0,6190476190476191;0,2619047619047619;0,9166666666666666;0,4074074074074074;iforest;duracao;20-60
17;10;41;32;1;0,6071428571428571;0,23809523809523808;0,9090909090909091;0,3773584905660377;iforest;duracao;20-60
18;7;41;35;1;0,5714285714285714;0,16666666666666666;0,875;0,27999999999999997;iforest;duracao;20-60
19;12;40;30;2;0,6190476190476191;0,2857142857142857;0,8571428571428571;0,42857142857142855;iforest;duracao;20-60
20;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;iforest;duracao;20-60
