semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;11;35;31;7;0,5476190476190477;0,2619047619047619;0,6111111111111112;0,36666666666666675;iforest;frequencia;20-60
3;3;40;39;2;0,5119047619047619;0,07142857142857142;0,6;0,1276595744680851;iforest;frequencia;20-60
4;3;41;39;1;0,5238095238095238;0,07142857142857142;0,75;0,13043478260869565;iforest;frequencia;20-60
5;6;41;36;1;0,5595238095238095;0,14285714285714285;0,8571428571428571;0,24489795918367344;iforest;frequencia;20-60
6;4;41;38;1;0,5357142857142857;0,09523809523809523;0,8;0,1702127659574468;iforest;frequencia;20-60
7;4;41;38;1;0,5357142857142857;0,09523809523809523;0,8;0,1702127659574468;iforest;frequencia;20-60
8;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;iforest;frequencia;20-60
9;5;40;37;2;0,5357142857142857;0,11904761904761904;0,7142857142857143;0,2040816326530612;iforest;frequencia;20-60
10;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;iforest;frequencia;20-60
11;7;41;35;1;0,5714285714285714;0,16666666666666666;0,875;0,27999999999999997;iforest;frequencia;20-60
12;4;41;38;1;0,5357142857142857;0,09523809523809523;0,8;0,1702127659574468;iforest;frequencia;20-60
13;3;42;39;0;0,5357142857142857;0,07142857142857142;1,0;0,13333333333333333;iforest;frequencia;20-60
14;3;41;39;1;0,5238095238095238;0,07142857142857142;0,75;0,13043478260869565;iforest;frequencia;20-60
15;2;42;40;0;0,5238095238095238;0,047619047619047616;1,0;0,0909090909090909;iforest;frequencia;20-60
16;5;42;37;0;0,5595238095238095;0,11904761904761904;1,0;0,21276595744680848;iforest;frequencia;20-60
17;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;iforest;frequencia;20-60
18;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;iforest;frequencia;20-60
19;5;42;37;0;0,5595238095238095;0,11904761904761904;1,0;0,21276595744680848;iforest;frequencia;20-60
20;3;42;39;0;0,5357142857142857;0,07142857142857142;1,0;0,13333333333333333;iforest;frequencia;20-60
