semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;lof;dfreq;20-60
3;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;lof;dfreq;20-60
4;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;lof;dfreq;20-60
5;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;lof;dfreq;20-60
6;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;lof;dfreq;20-60
7;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;lof;dfreq;20-60
8;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
9;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
10;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
11;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
12;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
13;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
14;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
15;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
16;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
17;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
18;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
19;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
20;42;42;0;0;1,0;1,0;1,0;1,0;lof;dfreq;20-60
