semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;0;42;42;0;0,5;0,0;;;lof;duracao;20-60
3;2;42;40;0;0,5238095238095238;0,047619047619047616;1,0;0,0909090909090909;lof;duracao;20-60
4;2;42;40;0;0,5238095238095238;0,047619047619047616;1,0;0,0909090909090909;lof;duracao;20-60
5;3;42;39;0;0,5357142857142857;0,07142857142857142;1,0;0,13333333333333333;lof;duracao;20-60
6;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;lof;duracao;20-60
7;3;42;39;0;0,5357142857142857;0,07142857142857142;1,0;0,13333333333333333;lof;duracao;20-60
8;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;lof;duracao;20-60
9;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;lof;duracao;20-60
10;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;lof;duracao;20-60
11;7;41;35;1;0,5714285714285714;0,16666666666666666;0,875;0,27999999999999997;lof;duracao;20-60
12;7;41;35;1;0,5714285714285714;0,16666666666666666;0,875;0,27999999999999997;lof;duracao;20-60
13;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;lof;duracao;20-60
14;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;lof;duracao;20-60
15;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;lof;duracao;20-60
16;9;41;33;1;0,5952380952380952;0,21428571428571427;0,9;0,3461538461538461;lof;duracao;20-60
17;9;41;33;1;0,5952380952380952;0,21428571428571427;0,9;0,3461538461538461;lof;duracao;20-60
18;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;lof;duracao;20-60
19;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;lof;duracao;20-60
20;8;41;34;1;0,5833333333333334;0,19047619047619047;0,8888888888888888;0,3137254901960784;lof;duracao;20-60
