semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;0;42;42;0;0,5;0,0;;;lof;frequencia;20-60
3;1;42;41;0;0,5119047619047619;0,023809523809523808;1,0;0,046511627906976744;lof;frequencia;20-60
4;2;42;40;0;0,5238095238095238;0,047619047619047616;1,0;0,0909090909090909;lof;frequencia;20-60
5;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;lof;frequencia;20-60
6;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;lof;frequencia;20-60
7;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;lof;frequencia;20-60
8;5;42;37;0;0,5595238095238095;0,11904761904761904;1,0;0,21276595744680848;lof;frequencia;20-60
9;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;lof;frequencia;20-60
10;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;lof;frequencia;20-60
11;8;42;34;0;0,5952380952380952;0,19047619047619047;1,0;0,32;lof;frequencia;20-60
12;8;42;34;0;0,5952380952380952;0,19047619047619047;1,0;0,32;lof;frequencia;20-60
13;9;42;33;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;lof;frequencia;20-60
14;9;42;33;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;lof;frequencia;20-60
15;9;41;33;1;0,5952380952380952;0,21428571428571427;0,9;0,3461538461538461;lof;frequencia;20-60
16;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;lof;frequencia;20-60
17;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;lof;frequencia;20-60
18;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;lof;frequencia;20-60
19;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;lof;frequencia;20-60
20;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;lof;frequencia;20-60
