semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;1;52;31;0;0,6309523809523809;0,03125;1,0;0,06060606060606061;iforest;20-60;mcoffe
3;4;51;28;1;0,6547619047619048;0,125;0,8;0,21621621621621623;iforest;20-60;mcoffe
4;7;49;25;3;0,6666666666666666;0,21875;0,7;0,3333333333333333;iforest;20-60;mcoffe
5;0;51;32;1;0,6071428571428571;0,0;0,0;;iforest;20-60;mcoffe
6;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
7;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
8;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
9;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
10;0;51;32;1;0,6071428571428571;0,0;0,0;;iforest;20-60;mcoffe
11;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
12;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
13;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
14;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
15;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;mcoffe
16;2;51;30;1;0,6309523809523809;0,0625;0,6666666666666666;0,11428571428571428;iforest;20-60;mcoffe
17;2;52;30;0;0,6428571428571429;0,0625;1,0;0,11764705882352941;iforest;20-60;mcoffe
18;2;52;30;0;0,6428571428571429;0,0625;1,0;0,11764705882352941;iforest;20-60;mcoffe
19;2;51;30;1;0,6309523809523809;0,0625;0,6666666666666666;0,11428571428571428;iforest;20-60;mcoffe
20;4;52;28;0;0,6666666666666666;0,125;1,0;0,2222222222222222;iforest;20-60;mcoffe
