semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;13;52;19;0;0,7738095238095238;0,40625;1,0;0,5777777777777777;lof;20-60;mcoffe
3;19;52;13;0;0,8452380952380952;0,59375;1,0;0,7450980392156863;lof;20-60;mcoffe
4;24;52;8;0;0,9047619047619048;0,75;1,0;0,8571428571428571;lof;20-60;mcoffe
5;25;51;7;1;0,9047619047619048;0,78125;0,9615384615384616;0,8620689655172413;lof;20-60;mcoffe
6;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;lof;20-60;mcoffe
7;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;lof;20-60;mcoffe
8;25;52;7;0;0,9166666666666666;0,78125;1,0;0,8771929824561403;lof;20-60;mcoffe
9;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;lof;20-60;mcoffe
10;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;lof;20-60;mcoffe
11;27;52;5;0;0,9404761904761905;0,84375;1,0;0,9152542372881356;lof;20-60;mcoffe
12;28;52;4;0;0,9523809523809523;0,875;1,0;0,9333333333333333;lof;20-60;mcoffe
13;27;52;5;0;0,9404761904761905;0,84375;1,0;0,9152542372881356;lof;20-60;mcoffe
14;28;51;4;1;0,9404761904761905;0,875;0,9655172413793104;0,9180327868852458;lof;20-60;mcoffe
15;28;50;4;2;0,9285714285714286;0,875;0,9333333333333333;0,9032258064516129;lof;20-60;mcoffe
16;28;50;4;2;0,9285714285714286;0,875;0,9333333333333333;0,9032258064516129;lof;20-60;mcoffe
17;28;50;4;2;0,9285714285714286;0,875;0,9333333333333333;0,9032258064516129;lof;20-60;mcoffe
18;29;50;3;2;0,9404761904761905;0,90625;0,9354838709677419;0,9206349206349206;lof;20-60;mcoffe
19;29;49;3;3;0,9285714285714286;0,90625;0,90625;0,90625;lof;20-60;mcoffe
20;29;49;3;3;0,9285714285714286;0,90625;0,90625;0,90625;lof;20-60;mcoffe
