semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;32;25;0;27;0,6785714285714286;1,0;0,5423728813559322;0,7032967032967034;ocsvm;20-60;mcoffe
3;32;29;0;23;0,7261904761904762;1,0;0,5818181818181818;0,735632183908046;ocsvm;20-60;mcoffe
4;32;27;0;25;0,7023809523809523;1,0;0,5614035087719298;0,7191011235955056;ocsvm;20-60;mcoffe
5;32;29;0;23;0,7261904761904762;1,0;0,5818181818181818;0,735632183908046;ocsvm;20-60;mcoffe
6;32;27;0;25;0,7023809523809523;1,0;0,5614035087719298;0,7191011235955056;ocsvm;20-60;mcoffe
7;32;35;0;17;0,7976190476190477;1,0;0,6530612244897959;0,7901234567901235;ocsvm;20-60;mcoffe
8;32;34;0;18;0,7857142857142857;1,0;0,64;0,7804878048780487;ocsvm;20-60;mcoffe
9;32;36;0;16;0,8095238095238095;1,0;0,6666666666666666;0,8;ocsvm;20-60;mcoffe
10;31;40;1;12;0,8452380952380952;0,96875;0,7209302325581395;0,8266666666666667;ocsvm;20-60;mcoffe
11;31;40;1;12;0,8452380952380952;0,96875;0,7209302325581395;0,8266666666666667;ocsvm;20-60;mcoffe
12;31;42;1;10;0,8690476190476191;0,96875;0,7560975609756098;0,8493150684931506;ocsvm;20-60;mcoffe
13;31;43;1;9;0,8809523809523809;0,96875;0,775;0,8611111111111113;ocsvm;20-60;mcoffe
14;31;44;1;8;0,8928571428571429;0,96875;0,7948717948717948;0,8732394366197183;ocsvm;20-60;mcoffe
15;31;44;1;8;0,8928571428571429;0,96875;0,7948717948717948;0,8732394366197183;ocsvm;20-60;mcoffe
16;31;43;1;9;0,8809523809523809;0,96875;0,775;0,8611111111111113;ocsvm;20-60;mcoffe
17;31;44;1;8;0,8928571428571429;0,96875;0,7948717948717948;0,8732394366197183;ocsvm;20-60;mcoffe
18;31;44;1;8;0,8928571428571429;0,96875;0,7948717948717948;0,8732394366197183;ocsvm;20-60;mcoffe
19;31;43;1;9;0,8809523809523809;0,96875;0,775;0,8611111111111113;ocsvm;20-60;mcoffe
20;31;44;1;8;0,8928571428571429;0,96875;0,7948717948717948;0,8732394366197183;ocsvm;20-60;mcoffe
