semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;19;52;13;0;0,8452380952380952;0,59375;1,0;0,7450980392156863;rce;20-60;mcoffe
3;17;52;15;0;0,8214285714285714;0,53125;1,0;0,6938775510204082;rce;20-60;mcoffe
4;18;52;14;0;0,8333333333333334;0,5625;1,0;0,72;rce;20-60;mcoffe
5;28;50;4;2;0,9285714285714286;0,875;0,9333333333333333;0,9032258064516129;rce;20-60;mcoffe
6;26;51;6;1;0,9166666666666666;0,8125;0,9629629629629629;0,8813559322033898;rce;20-60;mcoffe
7;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
8;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
9;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
10;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
11;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
12;25;52;7;0;0,9166666666666666;0,78125;1,0;0,8771929824561403;rce;20-60;mcoffe
13;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
14;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
15;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
16;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
17;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
18;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
19;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
20;26;52;6;0;0,9285714285714286;0,8125;1,0;0,896551724137931;rce;20-60;mcoffe
