semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;6;46;16;0;0,7647058823529411;0,2727272727272727;1,0;0,42857142857142855;iforest;20-60;mhotfood
3;3;58;19;0;0,7625;0,13636363636363635;1,0;0,24000000000000002;iforest;20-60;mhotfood
4;2;58;20;0;0,75;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
5;7;55;15;0;0,8051948051948052;0,3181818181818182;1,0;0,4827586206896552;iforest;20-60;mhotfood
6;6;55;16;0;0,7922077922077922;0,2727272727272727;1,0;0,42857142857142855;iforest;20-60;mhotfood
7;4;58;18;0;0,775;0,18181818181818182;1,0;0,3076923076923077;iforest;20-60;mhotfood
8;3;58;19;0;0,7625;0,13636363636363635;1,0;0,24000000000000002;iforest;20-60;mhotfood
9;4;58;18;0;0,775;0,18181818181818182;1,0;0,3076923076923077;iforest;20-60;mhotfood
10;4;58;18;0;0,775;0,18181818181818182;1,0;0,3076923076923077;iforest;20-60;mhotfood
11;2;59;20;0;0,7530864197530864;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
12;2;60;20;0;0,7560975609756098;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
13;2;57;20;0;0,7468354430379747;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
14;2;58;20;0;0,75;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
15;2;58;20;0;0,75;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
16;2;58;20;0;0,75;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
17;2;58;20;0;0,75;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
18;2;58;20;0;0,75;0,09090909090909091;1,0;0,16666666666666669;iforest;20-60;mhotfood
19;3;58;19;0;0,7625;0,13636363636363635;1,0;0,24000000000000002;iforest;20-60;mhotfood
20;5;59;17;0;0,7901234567901234;0,22727272727272727;1,0;0,37037037037037035;iforest;20-60;mhotfood
