semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;6;62;16;0;0,8095238095238095;0,2727272727272727;1,0;0,42857142857142855;lof;20-60;mhotfood
3;10;62;12;0;0,8571428571428571;0,45454545454545453;1,0;0,625;lof;20-60;mhotfood
4;12;62;10;0;0,8809523809523809;0,5454545454545454;1,0;0,7058823529411764;lof;20-60;mhotfood
5;12;62;10;0;0,8809523809523809;0,5454545454545454;1,0;0,7058823529411764;lof;20-60;mhotfood
6;14;62;8;0;0,9047619047619048;0,6363636363636364;1,0;0,7777777777777778;lof;20-60;mhotfood
7;14;61;8;0;0,9036144578313253;0,6363636363636364;1,0;0,7777777777777778;lof;20-60;mhotfood
8;16;60;6;0;0,926829268292683;0,7272727272727273;1,0;0,8421052631578948;lof;20-60;mhotfood
9;18;60;4;0;0,9512195121951219;0,8181818181818182;1,0;0,9;lof;20-60;mhotfood
10;18;61;4;0;0,9518072289156626;0,8181818181818182;1,0;0,9;lof;20-60;mhotfood
11;19;62;3;0;0,9642857142857143;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
12;19;62;3;0;0,9642857142857143;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
13;19;62;3;0;0,9642857142857143;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
14;18;61;4;0;0,9518072289156626;0,8181818181818182;1,0;0,9;lof;20-60;mhotfood
15;18;61;4;0;0,9518072289156626;0,8181818181818182;1,0;0,9;lof;20-60;mhotfood
16;18;61;4;0;0,9518072289156626;0,8181818181818182;1,0;0,9;lof;20-60;mhotfood
17;19;61;3;0;0,963855421686747;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
18;19;60;3;0;0,9634146341463414;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
19;19;61;3;0;0,963855421686747;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
20;19;61;3;0;0,963855421686747;0,8636363636363636;1,0;0,9268292682926829;lof;20-60;mhotfood
