semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;22;26;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
3;22;37;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
4;22;39;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
5;22;39;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
6;22;42;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
7;22;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
8;22;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
9;22;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
10;22;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
11;22;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
12;22;43;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
13;22;43;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
14;22;43;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
15;22;46;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
16;22;51;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
17;22;50;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
18;22;49;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
19;22;49;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
20;22;46;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;mhotfood
