semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;19;44;3;0;0,9545454545454546;0,8636363636363636;1,0;0,9268292682926829;rce;20-60;mhotfood
3;20;55;2;0;0,974025974025974;0,9090909090909091;1,0;0,9523809523809523;rce;20-60;mhotfood
4;22;52;0;0;1,0;1,0;1,0;1,0;rce;20-60;mhotfood
5;22;59;0;0;1,0;1,0;1,0;1,0;rce;20-60;mhotfood
6;22;54;0;0;1,0;1,0;1,0;1,0;rce;20-60;mhotfood
7;20;57;2;0;0,9746835443037974;0,9090909090909091;1,0;0,9523809523809523;rce;20-60;mhotfood
8;13;55;9;0;0,8831168831168831;0,5909090909090909;1,0;0,7428571428571429;rce;20-60;mhotfood
9;12;57;10;0;0,8734177215189873;0,5454545454545454;1,0;0,7058823529411764;rce;20-60;mhotfood
10;17;57;5;0;0,9367088607594937;0,7727272727272727;1,0;0,8717948717948718;rce;20-60;mhotfood
11;13;57;9;0;0,8860759493670886;0,5909090909090909;1,0;0,7428571428571429;rce;20-60;mhotfood
12;9;57;13;0;0,8354430379746836;0,4090909090909091;1,0;0,5806451612903226;rce;20-60;mhotfood
13;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
14;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
15;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
16;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
17;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
18;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
19;7;57;15;0;0,810126582278481;0,3181818181818182;1,0;0,4827586206896552;rce;20-60;mhotfood
20;10;57;12;0;0,8481012658227848;0,45454545454545453;1,0;0,625;rce;20-60;mhotfood
