semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;41;4;1;38;0,5357142857142857;0,9761904761904762;0,5189873417721519;0,6776859504132231;ocsvm;duracao;20-60
3;39;13;3;29;0,6190476190476191;0,9285714285714286;0,5735294117647058;0,7090909090909091;ocsvm;duracao;20-60
4;39;14;3;28;0,6309523809523809;0,9285714285714286;0,582089552238806;0,7155963302752294;ocsvm;duracao;20-60
5;39;14;3;28;0,6309523809523809;0,9285714285714286;0,582089552238806;0,7155963302752294;ocsvm;duracao;20-60
6;38;17;4;25;0,6547619047619048;0,9047619047619048;0,6031746031746031;0,7238095238095238;ocsvm;duracao;20-60
7;38;17;4;25;0,6547619047619048;0,9047619047619048;0,6031746031746031;0,7238095238095238;ocsvm;duracao;20-60
8;39;20;3;22;0,7023809523809523;0,9285714285714286;0,639344262295082;0,7572815533980584;ocsvm;duracao;20-60
9;38;19;4;23;0,6785714285714286;0,9047619047619048;0,6229508196721312;0,7378640776699029;ocsvm;duracao;20-60
10;37;21;5;21;0,6904761904761905;0,8809523809523809;0,6379310344827587;0,7400000000000001;ocsvm;duracao;20-60
11;37;23;5;19;0,7142857142857143;0,8809523809523809;0,6607142857142857;0,7551020408163266;ocsvm;duracao;20-60
12;37;25;5;17;0,7380952380952381;0,8809523809523809;0,6851851851851852;0,7708333333333335;ocsvm;duracao;20-60
13;37;25;5;17;0,7380952380952381;0,8809523809523809;0,6851851851851852;0,7708333333333335;ocsvm;duracao;20-60
14;37;26;5;16;0,75;0,8809523809523809;0,6981132075471698;0,7789473684210525;ocsvm;duracao;20-60
15;37;25;5;17;0,7380952380952381;0,8809523809523809;0,6851851851851852;0,7708333333333335;ocsvm;duracao;20-60
16;37;25;5;17;0,7380952380952381;0,8809523809523809;0,6851851851851852;0,7708333333333335;ocsvm;duracao;20-60
17;37;25;5;17;0,7380952380952381;0,8809523809523809;0,6851851851851852;0,7708333333333335;ocsvm;duracao;20-60
18;37;26;5;16;0,75;0,8809523809523809;0,6981132075471698;0,7789473684210525;ocsvm;duracao;20-60
19;37;28;5;14;0,7738095238095238;0,8809523809523809;0,7254901960784313;0,7956989247311828;ocsvm;duracao;20-60
20;38;28;4;14;0,7857142857142857;0,9047619047619048;0,7307692307692307;0,8085106382978723;ocsvm;duracao;20-60
