semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;41;4;1;38;0,5357142857142857;0,9761904761904762;0,5189873417721519;0,6776859504132231;ocsvm;frequencia;20-60
3;39;12;3;30;0,6071428571428571;0,9285714285714286;0,5652173913043478;0,7027027027027025;ocsvm;frequencia;20-60
4;39;18;3;24;0,6785714285714286;0,9285714285714286;0,6190476190476191;0,742857142857143;ocsvm;frequencia;20-60
5;38;18;4;24;0,6666666666666666;0,9047619047619048;0,6129032258064516;0,7307692307692307;ocsvm;frequencia;20-60
6;37;23;5;19;0,7142857142857143;0,8809523809523809;0,6607142857142857;0,7551020408163266;ocsvm;frequencia;20-60
7;36;26;6;16;0,7380952380952381;0,8571428571428571;0,6923076923076923;0,7659574468085107;ocsvm;frequencia;20-60
8;36;27;6;15;0,75;0,8571428571428571;0,7058823529411765;0,7741935483870968;ocsvm;frequencia;20-60
9;35;27;7;15;0,7380952380952381;0,8333333333333334;0,7;0,7608695652173915;ocsvm;frequencia;20-60
10;35;29;7;13;0,7619047619047619;0,8333333333333334;0,7291666666666666;0,7777777777777777;ocsvm;frequencia;20-60
11;35;29;7;13;0,7619047619047619;0,8333333333333334;0,7291666666666666;0,7777777777777777;ocsvm;frequencia;20-60
12;35;29;7;13;0,7619047619047619;0,8333333333333334;0,7291666666666666;0,7777777777777777;ocsvm;frequencia;20-60
13;35;29;7;13;0,7619047619047619;0,8333333333333334;0,7291666666666666;0,7777777777777777;ocsvm;frequencia;20-60
14;35;28;7;14;0,75;0,8333333333333334;0,7142857142857143;0,7692307692307692;ocsvm;frequencia;20-60
15;35;28;7;14;0,75;0,8333333333333334;0,7142857142857143;0,7692307692307692;ocsvm;frequencia;20-60
16;35;28;7;14;0,75;0,8333333333333334;0,7142857142857143;0,7692307692307692;ocsvm;frequencia;20-60
17;35;27;7;15;0,7380952380952381;0,8333333333333334;0,7;0,7608695652173915;ocsvm;frequencia;20-60
18;35;27;7;15;0,7380952380952381;0,8333333333333334;0,7;0,7608695652173915;ocsvm;frequencia;20-60
19;35;28;7;14;0,75;0,8333333333333334;0,7142857142857143;0,7692307692307692;ocsvm;frequencia;20-60
20;35;28;7;14;0,75;0,8333333333333334;0,7142857142857143;0,7692307692307692;ocsvm;frequencia;20-60
