semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;41;35;1;7;0,9047619047619048;0,9761904761904762;0,8541666666666666;0,9111111111111111;rce;dfreq;20-60
3;39;39;3;3;0,9285714285714286;0,9285714285714286;0,9285714285714286;0,9285714285714286;rce;dfreq;20-60
4;40;42;2;0;0,9761904761904762;0,9523809523809523;1,0;0,975609756097561;rce;dfreq;20-60
5;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
6;42;39;0;3;0,9642857142857143;1,0;0,9333333333333333;0,9655172413793104;rce;dfreq;20-60
7;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
8;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
9;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
10;41;40;1;2;0,9642857142857143;0,9761904761904762;0,9534883720930233;0,9647058823529412;rce;dfreq;20-60
11;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
12;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
13;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
14;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
15;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
16;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
17;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
18;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;rce;dfreq;20-60
19;41;42;1;0;0,9880952380952381;0,9761904761904762;1,0;0,9879518072289156;rce;dfreq;20-60
20;41;41;1;1;0,9761904761904762;0,9761904761904762;0,9761904761904762;0,9761904761904762;rce;dfreq;20-60
