semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;17;33;25;9;0,5952380952380952;0,40476190476190477;0,6538461538461539;0,5;rce;duracao;20-60
3;4;42;38;0;0,5476190476190477;0,09523809523809523;1,0;0,17391304347826084;rce;duracao;20-60
4;10;39;32;3;0,5833333333333334;0,23809523809523808;0,7692307692307693;0,36363636363636365;rce;duracao;20-60
5;9;42;33;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;rce;duracao;20-60
6;11;41;31;1;0,6190476190476191;0,2619047619047619;0,9166666666666666;0,4074074074074074;rce;duracao;20-60
7;8;42;34;0;0,5952380952380952;0,19047619047619047;1,0;0,32;rce;duracao;20-60
8;8;42;34;0;0,5952380952380952;0,19047619047619047;1,0;0,32;rce;duracao;20-60
9;8;42;34;0;0,5952380952380952;0,19047619047619047;1,0;0,32;rce;duracao;20-60
10;10;41;32;1;0,6071428571428571;0,23809523809523808;0,9090909090909091;0,3773584905660377;rce;duracao;20-60
11;11;42;31;0;0,6309523809523809;0,2619047619047619;1,0;0,41509433962264153;rce;duracao;20-60
12;7;42;35;0;0,5833333333333334;0,16666666666666666;1,0;0,2857142857142857;rce;duracao;20-60
13;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;rce;duracao;20-60
14;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;rce;duracao;20-60
15;5;42;37;0;0,5595238095238095;0,11904761904761904;1,0;0,21276595744680848;rce;duracao;20-60
16;6;42;36;0;0,5714285714285714;0,14285714285714285;1,0;0,25;rce;duracao;20-60
17;12;41;30;1;0,6309523809523809;0,2857142857142857;0,9230769230769231;0,43636363636363634;rce;duracao;20-60
18;11;41;31;1;0,6190476190476191;0,2619047619047619;0,9166666666666666;0,4074074074074074;rce;duracao;20-60
19;11;41;31;1;0,6190476190476191;0,2619047619047619;0,9166666666666666;0,4074074074074074;rce;duracao;20-60
20;11;41;31;1;0,6190476190476191;0,2619047619047619;0,9166666666666666;0,4074074074074074;rce;duracao;20-60
