semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;19;35;23;7;0,6428571428571429;0,4523809523809524;0,7307692307692307;0,5588235294117647;rce;frequencia;20-60
3;29;32;13;10;0,7261904761904762;0,6904761904761905;0,7435897435897436;0,7160493827160495;rce;frequencia;20-60
4;11;42;31;0;0,6309523809523809;0,2619047619047619;1,0;0,41509433962264153;rce;frequencia;20-60
5;21;35;21;7;0,6666666666666666;0,5;0,75;0,6;rce;frequencia;20-60
6;12;39;30;3;0,6071428571428571;0,2857142857142857;0,8;0,4210526315789473;rce;frequencia;20-60
7;12;42;30;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;rce;frequencia;20-60
8;10;42;32;0;0,6190476190476191;0,23809523809523808;1,0;0,3846153846153846;rce;frequencia;20-60
9;9;42;33;0;0,6071428571428571;0,21428571428571427;1,0;0,35294117647058826;rce;frequencia;20-60
10;10;42;32;0;0,6190476190476191;0,23809523809523808;1,0;0,3846153846153846;rce;frequencia;20-60
11;10;42;32;0;0,6190476190476191;0,23809523809523808;1,0;0,3846153846153846;rce;frequencia;20-60
12;17;42;25;0;0,7023809523809523;0,40476190476190477;1,0;0,576271186440678;rce;frequencia;20-60
13;17;42;25;0;0,7023809523809523;0,40476190476190477;1,0;0,576271186440678;rce;frequencia;20-60
14;21;42;21;0;0,75;0,5;1,0;0,6666666666666666;rce;frequencia;20-60
15;22;42;20;0;0,7619047619047619;0,5238095238095238;1,0;0,6875000000000001;rce;frequencia;20-60
16;20;39;22;3;0,7023809523809523;0,47619047619047616;0,8695652173913043;0,6153846153846153;rce;frequencia;20-60
17;19;42;23;0;0,7261904761904762;0,4523809523809524;1,0;0,6229508196721312;rce;frequencia;20-60
18;19;42;23;0;0,7261904761904762;0,4523809523809524;1,0;0,6229508196721312;rce;frequencia;20-60
19;23;42;19;0;0,7738095238095238;0,5476190476190477;1,0;0,7076923076923077;rce;frequencia;20-60
20;12;42;30;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;rce;frequencia;20-60
