semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;2;54;27;1;0,6666666666666666;0,06896551724137931;0,6666666666666666;0,125;iforest;20-60;sleep
3;0;54;29;1;0,6428571428571429;0,0;0,0;;iforest;20-60;sleep
4;0;54;29;1;0,6428571428571429;0,0;0,0;;iforest;20-60;sleep
5;2;54;27;1;0,6666666666666666;0,06896551724137931;0,6666666666666666;0,125;iforest;20-60;sleep
6;5;53;24;2;0,6904761904761905;0,1724137931034483;0,7142857142857143;0,2777777777777778;iforest;20-60;sleep
7;13;51;16;4;0,7619047619047619;0,4482758620689655;0,7647058823529411;0,5652173913043479;iforest;20-60;sleep
8;12;51;17;4;0,75;0,41379310344827586;0,75;0,5333333333333333;iforest;20-60;sleep
9;8;55;21;0;0,75;0,27586206896551724;1,0;0,4324324324324324;iforest;20-60;sleep
10;6;55;23;0;0,7261904761904762;0,20689655172413793;1,0;0,34285714285714286;iforest;20-60;sleep
11;4;55;25;0;0,7023809523809523;0,13793103448275862;1,0;0,2424242424242424;iforest;20-60;sleep
12;6;55;23;0;0,7261904761904762;0,20689655172413793;1,0;0,34285714285714286;iforest;20-60;sleep
13;11;55;18;0;0,7857142857142857;0,3793103448275862;1,0;0,5499999999999999;iforest;20-60;sleep
14;13;54;16;1;0,7976190476190477;0,4482758620689655;0,9285714285714286;0,6046511627906977;iforest;20-60;sleep
15;5;55;24;0;0,7142857142857143;0,1724137931034483;1,0;0,29411764705882354;iforest;20-60;sleep
16;7;55;22;0;0,7380952380952381;0,2413793103448276;1,0;0,3888888888888889;iforest;20-60;sleep
17;7;55;22;0;0,7380952380952381;0,2413793103448276;1,0;0,3888888888888889;iforest;20-60;sleep
18;12;53;17;2;0,7738095238095238;0,41379310344827586;0,8571428571428571;0,5581395348837208;iforest;20-60;sleep
19;9;54;20;1;0,75;0,3103448275862069;0,9;0,4615384615384615;iforest;20-60;sleep
20;8;54;21;1;0,7380952380952381;0,27586206896551724;0,8888888888888888;0,42105263157894735;iforest;20-60;sleep
