semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;14;55;15;0;0,8214285714285714;0,4827586206896552;1,0;0,6511627906976745;lof;20-60;sleep
3;27;51;2;4;0,9285714285714286;0,9310344827586207;0,8709677419354839;0,9;lof;20-60;sleep
4;27;53;2;2;0,9523809523809523;0,9310344827586207;0,9310344827586207;0,9310344827586207;lof;20-60;sleep
5;28;42;1;13;0,8333333333333334;0,9655172413793104;0,6829268292682927;0,8000000000000002;lof;20-60;sleep
6;28;46;1;9;0,8809523809523809;0,9655172413793104;0,7567567567567568;0,8484848484848485;lof;20-60;sleep
7;29;45;0;10;0,8809523809523809;1,0;0,7435897435897436;0,8529411764705882;lof;20-60;sleep
8;29;45;0;10;0,8809523809523809;1,0;0,7435897435897436;0,8529411764705882;lof;20-60;sleep
9;29;45;0;10;0,8809523809523809;1,0;0,7435897435897436;0,8529411764705882;lof;20-60;sleep
10;29;44;0;11;0,8690476190476191;1,0;0,725;0,8405797101449275;lof;20-60;sleep
11;28;45;1;10;0,8690476190476191;0,9655172413793104;0,7368421052631579;0,835820895522388;lof;20-60;sleep
12;28;43;1;12;0,8452380952380952;0,9655172413793104;0,7;0,8115942028985508;lof;20-60;sleep
13;27;45;2;10;0,8571428571428571;0,9310344827586207;0,7297297297297297;0,8181818181818181;lof;20-60;sleep
14;27;41;2;14;0,8095238095238095;0,9310344827586207;0,6585365853658537;0,7714285714285715;lof;20-60;sleep
15;27;43;2;12;0,8333333333333334;0,9310344827586207;0,6923076923076923;0,7941176470588235;lof;20-60;sleep
16;27;42;2;13;0,8214285714285714;0,9310344827586207;0,675;0,7826086956521738;lof;20-60;sleep
17;27;41;2;14;0,8095238095238095;0,9310344827586207;0,6585365853658537;0,7714285714285715;lof;20-60;sleep
18;27;45;2;10;0,8571428571428571;0,9310344827586207;0,7297297297297297;0,8181818181818181;lof;20-60;sleep
19;27;44;2;11;0,8452380952380952;0,9310344827586207;0,7105263157894737;0,8059701492537312;lof;20-60;sleep
20;27;45;2;10;0,8571428571428571;0,9310344827586207;0,7297297297297297;0,8181818181818181;lof;20-60;sleep
