semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;29;19;0;36;0,5714285714285714;1,0;0,4461538461538462;0,6170212765957447;ocsvm;20-60;sleep
3;29;24;0;31;0,6309523809523809;1,0;0,48333333333333334;0,6516853932584269;ocsvm;20-60;sleep
4;29;23;0;32;0,6190476190476191;1,0;0,47540983606557374;0,6444444444444445;ocsvm;20-60;sleep
5;29;25;0;30;0,6428571428571429;1,0;0,4915254237288136;0,6590909090909091;ocsvm;20-60;sleep
6;29;29;0;26;0,6904761904761905;1,0;0,5272727272727272;0,6904761904761904;ocsvm;20-60;sleep
7;29;29;0;26;0,6904761904761905;1,0;0,5272727272727272;0,6904761904761904;ocsvm;20-60;sleep
8;29;31;0;24;0,7142857142857143;1,0;0,5471698113207547;0,7073170731707317;ocsvm;20-60;sleep
9;29;37;0;18;0,7857142857142857;1,0;0,6170212765957447;0,763157894736842;ocsvm;20-60;sleep
10;29;37;0;18;0,7857142857142857;1,0;0,6170212765957447;0,763157894736842;ocsvm;20-60;sleep
11;29;41;0;14;0,8333333333333334;1,0;0,6744186046511628;0,8055555555555556;ocsvm;20-60;sleep
12;29;39;0;16;0,8095238095238095;1,0;0,6444444444444445;0,7837837837837839;ocsvm;20-60;sleep
13;29;40;0;15;0,8214285714285714;1,0;0,6590909090909091;0,7945205479452054;ocsvm;20-60;sleep
14;29;42;0;13;0,8452380952380952;1,0;0,6904761904761905;0,8169014084507042;ocsvm;20-60;sleep
15;29;40;0;15;0,8214285714285714;1,0;0,6590909090909091;0,7945205479452054;ocsvm;20-60;sleep
16;29;43;0;12;0,8571428571428571;1,0;0,7073170731707317;0,8285714285714285;ocsvm;20-60;sleep
17;29;41;0;14;0,8333333333333334;1,0;0,6744186046511628;0,8055555555555556;ocsvm;20-60;sleep
18;29;42;0;13;0,8452380952380952;1,0;0,6904761904761905;0,8169014084507042;ocsvm;20-60;sleep
19;29;44;0;11;0,8690476190476191;1,0;0,725;0,8405797101449275;ocsvm;20-60;sleep
20;29;41;0;14;0,8333333333333334;1,0;0,6744186046511628;0,8055555555555556;ocsvm;20-60;sleep
