semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;26;50;3;5;0,9047619047619048;0,896551724137931;0,8387096774193549;0,8666666666666666;rce;20-60;sleep
3;21;55;8;0;0,9047619047619048;0,7241379310344828;1,0;0,8400000000000001;rce;20-60;sleep
4;21;55;8;0;0,9047619047619048;0,7241379310344828;1,0;0,8400000000000001;rce;20-60;sleep
5;24;53;5;2;0,9166666666666666;0,8275862068965517;0,9230769230769231;0,8727272727272727;rce;20-60;sleep
6;23;53;6;2;0,9047619047619048;0,7931034482758621;0,92;0,851851851851852;rce;20-60;sleep
7;21;53;8;2;0,8809523809523809;0,7241379310344828;0,9130434782608695;0,8076923076923076;rce;20-60;sleep
8;24;55;5;0;0,9404761904761905;0,8275862068965517;1,0;0,9056603773584906;rce;20-60;sleep
9;22;53;7;2;0,8928571428571429;0,7586206896551724;0,9166666666666666;0,830188679245283;rce;20-60;sleep
10;24;55;5;0;0,9404761904761905;0,8275862068965517;1,0;0,9056603773584906;rce;20-60;sleep
11;24;54;5;1;0,9285714285714286;0,8275862068965517;0,96;0,888888888888889;rce;20-60;sleep
12;24;55;5;0;0,9404761904761905;0,8275862068965517;1,0;0,9056603773584906;rce;20-60;sleep
13;22;55;7;0;0,9166666666666666;0,7586206896551724;1,0;0,8627450980392156;rce;20-60;sleep
14;19;55;10;0;0,8809523809523809;0,6551724137931034;1,0;0,7916666666666666;rce;20-60;sleep
15;20;55;9;0;0,8928571428571429;0,6896551724137931;1,0;0,8163265306122449;rce;20-60;sleep
16;24;53;5;2;0,9166666666666666;0,8275862068965517;0,9230769230769231;0,8727272727272727;rce;20-60;sleep
17;24;53;5;2;0,9166666666666666;0,8275862068965517;0,9230769230769231;0,8727272727272727;rce;20-60;sleep
18;24;53;5;2;0,9166666666666666;0,8275862068965517;0,9230769230769231;0,8727272727272727;rce;20-60;sleep
19;24;53;5;2;0,9166666666666666;0,8275862068965517;0,9230769230769231;0,8727272727272727;rce;20-60;sleep
20;24;53;5;2;0,9166666666666666;0,8275862068965517;0,9230769230769231;0,8727272727272727;rce;20-60;sleep
