semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;5;51;27;0;0,6746987951807228;0,15625;1,0;0,2702702702702703;iforest;20-60;toileting
3;0;51;32;0;0,6144578313253012;0,0;;;iforest;20-60;toileting
4;0;50;32;0;0,6097560975609756;0,0;;;iforest;20-60;toileting
5;0;51;32;0;0,6144578313253012;0,0;;;iforest;20-60;toileting
6;3;52;29;0;0,6547619047619048;0,09375;1,0;0,17142857142857143;iforest;20-60;toileting
7;4;52;28;0;0,6666666666666666;0,125;1,0;0,2222222222222222;iforest;20-60;toileting
8;3;52;29;0;0,6547619047619048;0,09375;1,0;0,17142857142857143;iforest;20-60;toileting
9;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;toileting
10;0;52;32;0;0,6190476190476191;0,0;;;iforest;20-60;toileting
11;6;52;26;0;0,6904761904761905;0,1875;1,0;0,3157894736842105;iforest;20-60;toileting
12;7;52;25;0;0,7023809523809523;0,21875;1,0;0,358974358974359;iforest;20-60;toileting
13;7;50;25;0;0,6951219512195121;0,21875;1,0;0,358974358974359;iforest;20-60;toileting
14;6;50;26;0;0,6829268292682927;0,1875;1,0;0,3157894736842105;iforest;20-60;toileting
15;6;52;26;0;0,6904761904761905;0,1875;1,0;0,3157894736842105;iforest;20-60;toileting
16;6;52;26;0;0,6904761904761905;0,1875;1,0;0,3157894736842105;iforest;20-60;toileting
17;6;52;26;0;0,6904761904761905;0,1875;1,0;0,3157894736842105;iforest;20-60;toileting
18;7;52;25;0;0,7023809523809523;0,21875;1,0;0,358974358974359;iforest;20-60;toileting
19;7;52;25;0;0,7023809523809523;0,21875;1,0;0,358974358974359;iforest;20-60;toileting
20;7;52;25;0;0,7023809523809523;0,21875;1,0;0,358974358974359;iforest;20-60;toileting
