semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;24;52;8;0;0,9047619047619048;0,75;1,0;0,8571428571428571;lof;20-60;toileting
3;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
4;30;50;2;0;0,975609756097561;0,9375;1,0;0,967741935483871;lof;20-60;toileting
5;30;49;2;0;0,9753086419753086;0,9375;1,0;0,967741935483871;lof;20-60;toileting
6;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
7;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
8;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
9;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
10;30;51;2;0;0,9759036144578314;0,9375;1,0;0,967741935483871;lof;20-60;toileting
11;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
12;30;52;2;0;0,9761904761904762;0,9375;1,0;0,967741935483871;lof;20-60;toileting
13;30;49;2;0;0,9753086419753086;0,9375;1,0;0,967741935483871;lof;20-60;toileting
14;31;48;1;0;0,9875;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
15;31;49;1;0;0,9876543209876543;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
16;31;51;1;0;0,9879518072289156;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
17;31;50;1;0;0,9878048780487805;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
18;31;51;1;0;0,9879518072289156;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
19;31;51;1;0;0,9879518072289156;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
20;31;51;1;0;0,9879518072289156;0,96875;1,0;0,9841269841269841;lof;20-60;toileting
