semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;32;22;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
3;31;24;1;0;0,9821428571428571;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
4;31;29;1;0;0,9836065573770492;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
5;31;30;1;0;0,9838709677419355;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
6;31;33;1;0;0,9846153846153847;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
7;31;36;1;0;0,9852941176470589;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
8;31;35;1;0;0,9850746268656716;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
9;31;36;1;0;0,9852941176470589;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
10;31;37;1;0;0,9855072463768116;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
11;31;39;1;0;0,9859154929577465;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
12;31;39;1;0;0,9859154929577465;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
13;31;39;1;0;0,9859154929577465;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
14;31;39;1;0;0,9859154929577465;0,96875;1,0;0,9841269841269841;ocsvm;20-60;toileting
15;32;39;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
16;32;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
17;32;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
18;32;40;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
19;32;43;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
20;32;41;0;0;1,0;1,0;1,0;1,0;ocsvm;20-60;toileting
