semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;25;52;7;0;0,9166666666666666;0,78125;1,0;0,8771929824561403;rce;20-60;toileting
3;27;51;5;0;0,9397590361445783;0,84375;1,0;0,9152542372881356;rce;20-60;toileting
4;32;49;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
5;32;50;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
6;32;50;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
7;32;51;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
8;32;51;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
9;32;51;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
10;32;50;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
11;32;50;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
12;32;50;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
13;32;49;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
14;32;49;0;0;1,0;1,0;1,0;1,0;rce;20-60;toileting
15;31;50;1;0;0,9878048780487805;0,96875;1,0;0,9841269841269841;rce;20-60;toileting
16;30;50;2;0;0,975609756097561;0,9375;1,0;0,967741935483871;rce;20-60;toileting
17;30;50;2;0;0,975609756097561;0,9375;1,0;0,967741935483871;rce;20-60;toileting
18;31;50;1;0;0,9878048780487805;0,96875;1,0;0,9841269841269841;rce;20-60;toileting
19;30;50;2;0;0,975609756097561;0,9375;1,0;0,967741935483871;rce;20-60;toileting
20;31;50;1;0;0,9878048780487805;0,96875;1,0;0,9841269841269841;rce;20-60;toileting
