semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;2;63;19;2;0,7558139534883721;0,09523809523809523;0,5;0,16;iforest;20-60;watchtv
3;3;63;18;2;0,7674418604651163;0,14285714285714285;0,6;0,23076923076923073;iforest;20-60;watchtv
4;3;63;18;2;0,7674418604651163;0,14285714285714285;0,6;0,23076923076923073;iforest;20-60;watchtv
5;1;63;20;2;0,7441860465116279;0,047619047619047616;0,3333333333333333;0,08333333333333333;iforest;20-60;watchtv
6;2;63;19;2;0,7558139534883721;0,09523809523809523;0,5;0,16;iforest;20-60;watchtv
7;0;63;21;2;0,7325581395348837;0,0;0,0;;iforest;20-60;watchtv
8;0;63;21;2;0,7325581395348837;0,0;0,0;;iforest;20-60;watchtv
9;0;63;21;2;0,7325581395348837;0,0;0,0;;iforest;20-60;watchtv
10;4;63;17;2;0,7790697674418605;0,19047619047619047;0,6666666666666666;0,2962962962962963;iforest;20-60;watchtv
11;4;63;17;2;0,7790697674418605;0,19047619047619047;0,6666666666666666;0,2962962962962963;iforest;20-60;watchtv
12;3;63;18;2;0,7674418604651163;0,14285714285714285;0,6;0,23076923076923073;iforest;20-60;watchtv
13;2;63;19;2;0,7558139534883721;0,09523809523809523;0,5;0,16;iforest;20-60;watchtv
14;1;63;20;2;0,7441860465116279;0,047619047619047616;0,3333333333333333;0,08333333333333333;iforest;20-60;watchtv
15;1;63;20;2;0,7441860465116279;0,047619047619047616;0,3333333333333333;0,08333333333333333;iforest;20-60;watchtv
16;1;63;20;2;0,7441860465116279;0,047619047619047616;0,3333333333333333;0,08333333333333333;iforest;20-60;watchtv
17;3;63;18;2;0,7674418604651163;0,14285714285714285;0,6;0,23076923076923073;iforest;20-60;watchtv
18;2;63;19;2;0,7558139534883721;0,09523809523809523;0,5;0,16;iforest;20-60;watchtv
19;1;63;20;2;0,7441860465116279;0,047619047619047616;0,3333333333333333;0,08333333333333333;iforest;20-60;watchtv
20;1;63;20;2;0,7441860465116279;0,047619047619047616;0,3333333333333333;0,08333333333333333;iforest;20-60;watchtv
