semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;7;63;14;2;0,813953488372093;0,3333333333333333;0,7777777777777778;0,4666666666666666;rce;20-60;watchtv
3;9;61;12;2;0,8333333333333334;0,42857142857142855;0,8181818181818182;0,5625;rce;20-60;watchtv
4;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
5;4;61;17;2;0,7738095238095238;0,19047619047619047;0,6666666666666666;0,2962962962962963;rce;20-60;watchtv
6;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
7;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
8;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
9;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
10;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
11;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
12;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
13;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
14;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
15;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
16;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
17;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
18;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
19;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
20;6;61;15;2;0,7976190476190477;0,2857142857142857;0,75;0,4137931034482759;rce;20-60;watchtv
