semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;30;54;0;2;0,9767441860465116;1,0;0,9375;0,967741935483871;lof;20-60;whandface
3;30;54;0;2;0,9767441860465116;1,0;0,9375;0,967741935483871;lof;20-60;whandface
4;30;54;0;2;0,9767441860465116;1,0;0,9375;0,967741935483871;lof;20-60;whandface
5;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
6;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
7;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
8;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
9;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
10;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
11;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
12;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
13;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
14;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
15;30;53;0;2;0,9764705882352941;1,0;0,9375;0,967741935483871;lof;20-60;whandface
16;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
17;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
18;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
19;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
20;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;lof;20-60;whandface
