semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;30;28;0;2;0,9666666666666667;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
3;30;32;0;2;0,96875;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
4;30;31;0;2;0,9682539682539683;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
5;30;30;0;2;0,967741935483871;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
6;30;39;0;2;0,971830985915493;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
7;30;37;0;2;0,9710144927536232;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
8;30;40;0;2;0,9722222222222222;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
9;30;39;0;2;0,971830985915493;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
10;30;38;0;2;0,9714285714285714;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
11;30;39;0;2;0,971830985915493;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
12;30;43;0;2;0,9733333333333334;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
13;30;44;0;2;0,9736842105263158;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
14;30;46;0;2;0,9743589743589743;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
15;30;46;0;2;0,9743589743589743;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
16;30;47;0;2;0,9746835443037974;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
17;30;46;0;2;0,9743589743589743;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
18;30;46;0;2;0,9743589743589743;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
19;30;46;0;2;0,9743589743589743;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
20;30;47;0;2;0,9746835443037974;1,0;0,9375;0,967741935483871;ocsvm;20-60;whandface
