semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;30;52;0;2;0,9761904761904762;1,0;0,9375;0,967741935483871;rce;20-60;whandface
3;30;54;0;2;0,9767441860465116;1,0;0,9375;0,967741935483871;rce;20-60;whandface
4;30;54;0;2;0,9767441860465116;1,0;0,9375;0,967741935483871;rce;20-60;whandface
5;30;51;0;2;0,9759036144578314;1,0;0,9375;0,967741935483871;rce;20-60;whandface
6;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
7;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
8;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
9;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
10;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
11;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
12;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
13;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
14;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
15;28;54;2;2;0,9534883720930233;0,9333333333333333;0,9333333333333333;0,9333333333333333;rce;20-60;whandface
16;28;54;2;2;0,9534883720930233;0,9333333333333333;0,9333333333333333;0,9333333333333333;rce;20-60;whandface
17;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
18;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
19;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
20;29;54;1;2;0,9651162790697675;0,9666666666666667;0,9354838709677419;0,9508196721311476;rce;20-60;whandface
